gene_id	M12_DESeq2_log2FC	M12_MACS3_log2FC	M12_TSS_coverage
YIL053W	4.77092051483541	1.22184295426831	2063
YNL064C	4.1205750512532	-0.860923855709745	866
YBR189W	3.73298563355314	-0.712856168858215	943
YOL143C	3.6052451581839	-0.483069313373069	4631
YDR233C	2.66287043507605	1.84596176602289	267
YOR294W	2.57275064444681	-0.833887870465963	3268
YLR339C	2.10465687103677	1.697380965836	3827
YER057C	2.07161837561697	0.897059181424927	804
YDR524C-B	1.96472006651105	1.44009170444686	12684
YOR293W	1.85317571291327	-1.05798453106696	821
YLR075W	1.83508624814099	-0.817742589896243	29071
YMR202W	1.76260025231832	-0.647933910673352	1922
YKL096C-B	1.62650491971717	2.37149560195011	3328
YOR230W	1.59588818025238	-0.658239609974126	523
YER147C-A	1.56639766015131	-0.611581138758335	771
YDL061C	1.55016882932506	1.98851974776434	3284
YGR160W	1.51709270700623	-0.63630011376313	4122
YDR510C-A	1.45572731564437	2.8904798145487	980
YKL096W-A	1.36434111601956	2.37059051787052	3327
YGR214W	1.3416337300261	-0.496120543661085	81
YDL191W	1.29043940937953	-0.732363384426216	901
YJL138C	1.23901658019655	-1.0205010667297	2076
YOR122C	1.20183818512448	-0.597294327816992	1528
YDL050C	1.18521488577443	-1.01403031654797	983
YDR224C	1.13219573615237	1.79289219062029	2006
YLL044W	1.08578605489376	0.435548855898071	15078
YIL133C	1.02068417846658	0.768985405300707	1948
YNL281W	-1.03872742220198	0.958014993327413	1120
YLR150W	-1.10084168768378	0.857590769011841	4430
Q0060	-1.15150076679375	-1.2599956089325	4108
YPL061W	-1.15203950306245	2.08077582062651	473
YLR340W	-1.1926116628732	1.697380965836	1861
YOL139C	-1.19466729286752	-0.751472110165857	2626
YNR021W	-1.21904129987919	-1.08718597409344	583
YGL147C	-1.23956812948897	-0.95238894826157	9269
YOR331C	-1.25166695217681	0.805810890581034	3440
YJL140W	-1.2963918502847	0.872582415743559	1016
YGL103W	-1.35117894387734	-0.904942104699092	373
YML078W	-1.38467279258025	1.6479797812221	913
YGL189C	-1.39907579170999	1.23733018362398	12271
YKL080W	-1.40928117317486	-0.913735231968403	1897
YER072W	-1.41880294527327	1.72749708722465	924
YDL083C	-1.43745005414049	1.14535938992436	211
YNL010W	-1.54148273121819	-0.650206629998977	1453
YER023C-A	-1.62423341564814	-0.552266450956385	1519
YDR524W-C	-1.64283639749539	1.44009170444686	12683
YIL051C	-1.64892246133553	1.30174718358557	3006
YMR230W	-1.64963328629199	-1.09777329669873	439
YEL026W	-1.65837021935561	3.84211112395048	2127
Q0070	-1.67299075240673	-1.2599956089325	4108
YDR304C	-1.69210614423412	-0.838568569458297	850
YOL012C	-2.0279894571677	1.04554803268425	449
