Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IP2.bam
YDL246C	6
YDL243C	12
YDR387C	53
YDL094C	0
YDR438W	23
YDR523C	6
YDR542W	3
YDR492W	85
YDR018C	6
YDL189W	89
YDR508C	108
YDR462W	38
YDR175C	78
YDR186C	54
YDR150W	218
YDR243C	33
YDL182W	182
YDR362C	60
YDR232W	120
YDR158W	874
YDR439W	37
YDL206W	12
YDR125C	9
YDR338C	61
YDR526C	11
YDR533C	69
YDR272W	172
YDR197W	61
YDR512C	20
YDR489W	25
YDR299W	116
YDL015C	500
YDR304C	511
YDR271C	0
YDL181W	22
YDR367W	57
YDR085C	24
YDL097C	434
YDL139C	28
YDR200C	36
YDR191W	19
YDR451C	52
YDR469W	66
YDR470C	28
YDR105C	137
YDR483W	649
YDL123W	17
YDL199C	10
YDR505C	91
YDL045W-A	73
YDL045C	104
YDR361C	237
YDR406W-A	0
YDR199W	2
YDR266C	121
YDL242W	0
YDR002W	1496
YDR214W	266
YDR130C	38
YDL176W	37
YDR358W	54
YDR544C	0
YDR460W	21
snR84	2061
YDR034W-B	3
YDL028C	41
YDR061W	71
YDR060W	257
YDR169C-A	0
YDR363W	24
YDR422C	60
YDR119W	237
tR(ACG)D	1
YDR097C	74
YDR042C	4
YDL160C	186
YDR425W	14
snR13	1015
YDR228C	39
YDR319C	57
YDR471W	1818
YDR089W	65
tD(GUC)D	2
YDR275W	51
YDR043C	35
YDR129C	419
YDR136C	1
YDL066W	1039
YDR302W	98
YDR239C	37
YDR539W	77
tK(CUU)D1	1
YDL125C	492
YDR493W	44
YDR101C	268
YDR182W-A	4
YDR212W	770
YDR476C	58
YDL131W	112
YDR458C	59
YDR081C	47
YDL071C	7
YDR113C	26
YDR168W	142
YDR520C	57
YDR307W	43
YDR265W	44
YDL076C	71
YDL006W	58
YDL086W	211
YDR238C	496
YDR077W	90
YDR381C-A	38
YDL023C	15
YDL083C	2625
YDR036C	65
YDR057W	50
YDR513W	227
YDR487C	390
YDR066C	7
YDR352W	95
YDR278C	0
YDR079C-A	7
YDR204W	87
YDL247W-A	0
YDL024C	3
tA(AGC)D	0
YDR109C	37
YDR466W	63
YDR427W	346
YDL044C	28
YDL079C	4
YDR193W	0
YDR305C	41
YDR377W	227
YDR219C	75
YDR416W	49
YDR365C	217
YDL233W	19
YDR287W	63
YDR448W	61
YDR180W	58
tF(GAA)D	0
tT(AGU)D	0
YDR294C	270
YDR198C	42
YDL163W	0
YDL119C	44
YDR501W	10
YDL214C	4
YDR264C	161
YDR343C	117
YDR373W	138
YDR354W	117
YDR246W	50
YDR428C	88
YDR157W	3
YDR316W	32
YDL142C	53
YDR253C	1
YDL112W	190
YDR545W	67
YDL187C	14
YDL138W	34
YDR528W	14
YDR284C	123
YDR050C	9190
YDL010W	58
YDL065C	51
YDR349C	161
YDL098C	30
YDL234C	117
YDR118W	24
YDR118W-A	1
YDR159W	63
YDR111C	83
YDR128W	61
YDL034W	1
YDR065W	24
YDL004W	258
YDR024W	16
YDL171C	752
YDR083W	113
YDR457W	377
YDR014W	18
YDR206W	83
YDR478W	16
YDR169C	14
YDR115W	48
YDL159W-A	0
YDL232W	28
YDL240C-A	0
tE(CUC)D	0
YDL152W	2
YDR432W	108
YDL022C-A	0
YDL114W-A	2
YDR410C	114
YDR464C-A	0
YDL072C	243
YDR053W	0
YDL012C	24
YDR482C	15
YDL070W	447
YDR064W	4583
YDL135C	196
YDL077C	42
YDR354C-A	4
YDL033C	55
YDL031W	157
YDR398W	203
YDR326C	137
YDL052C	181
YDR536W	0
YDR397C	118
YDL116W	101
YDR028C	138
YDL007W	256
YDR236C	49
YDR011W	206
YDR155C	1628
YDR414C	35
YDR026C	39
YDL073W	107
tY(GUA)D	0
