Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IN3.bam
YDR273W	6
YDR269C	0
YDR453C	6
YDR383C	31
YDR375C	57
YDL161W	48
YDL051W	410
YDR084C	45
YDL056W	38
YDR344C	3
YDR320C	2
YDR221W	138
tI(AAU)D	0
YDL032W	0
YDR456W	146
YDL036C	50
tL(CAA)D	0
YDL217C	31
snR63	1272
YDR334W	151
YDL049C	7
YDL164C	132
YDR384C	8
YDR149C	1
YDR093W	78
YDR071C	214
YDL143W	855
YDR032C	132
tR(UCU)D	0
YDR063W	34
YDL166C	102
YDR004W	72
YDR151C	39
YDR037W	1483
YDL175C	19
YDR286C	8
YDR172W	1369
YDL174C	53
YDR080W	58
YDR503C	29
YDR069C	32
YDR047W	200
YDR215C	0
YDR267C	66
YDR142C	27
YDL212W	315
YDR249C	28
YDL209C	26
YDR044W	49
tK(UUU)D	1
YDR311W	73
YDL159C-B	0
YDR222W	73
YDR510C-A	1
YDR401W	4
YDR207C	5
YDL005C	18
YDR295C	60
YDR543C	0
YDL208W	318
YDR135C	802
YDL114W	0
YDR247W	5
YDL197C	5
YDR229W	42
YDR095C	0
YDR027C	105
YDL106C	4
YDR404C	68
YDR256C	10
YDR518W	122
YDR055W	86
YDL087C	9
YDR177W	167
YDL014W	238
YDR289C	47
YDL159W	4
YDR532C	37
YDR137W	112
YDL153C	207
YDR393W	28
YDR506C	23
YDL219W	67
YDL090C	67
YDR033W	915
YDR035W	198
YDR332W	11
YDR510W	13
YDL055C	3084
YDR480W	12
YDL103C	176
YDL085C-A	23
YDR350C	48
YDR342C	80
YDR087C	164
YDL236W	259
YDR012W	345
YDL121C	127
YDR525W-A	14
tG(GCC)D2	0
YDL190C	271
YDL047W	78
YDR099W	20
YDR092W	50
YDR164C	73
YDR058C	16
YDL020C	60
YDL025C	48
YDR374C	1
YDL207W	62
YDR270W	32
YDR152W	92
YDL148C	423
tI(UAU)D	17
YDR379C-A	3
YDR218C	1
YDL018C	30
YDR507C	138
YDL003W	144
YDR524C-B	153
YDR371W	65
YDR359C	9
YDL180W	61
YDL133W	72
YDR335W	366
YDR351W	81
YDL150W	82
YDL177C	14
YDR171W	59
YDR364C	62
YDR309C	9
YDL239C	28
YDL228C	40
YDL156W	20
YDL016C	51
tX(XXX)D	0
YDR524W-C	0
YDL085W	0
YDR300C	129
YDL168W	229
YDR360W	0
YDR195W	33
YDR321W	588
YDR237W	74
YDL127W	0
YDR107C	53
YDR472W	59
YDL030W	65
YDR468C	56
YDL084W	2792
YDL203C	21
YDL025W-A	0
YDR285W	17
YDL229W	5791
YDR329C	90
YDR034C	37
YDR009W	12
tS(AGA)D2	0
YDR488C	21
YDR103W	126
YDR336W	39
YDL101C	46
YDR162C	37
YDR312W	50
YDL061C	29
YDL040C	340
YDR145W	71
YDR124W	8
YDL231C	87
YDR190C	417
YDL064W	4
YDR463W	20
YDR491C	0
YDR449C	80
YDL035C	128
YDR074W	86
YDR525W	0
YDR257C	118
YDR402C	1
YDR450W	2787
YDR376W	96
YDR161W	95
YDR090C	26
YDR189W	159
YDR524C	55
YDL237W	79
YDR188W	323
YDL133C-A	91
YDR531W	114
tG(GCC)D1	0
YDR226W	1066
YDL054C	20
YDL205C	164
YDR537C	0
YDR496C	575
YDR313C	27
YDL108W	38
tV(CAC)D	0
YDR340W	3
YDL147W	479
YDL081C	1016
YDR283C	268
YDR261C	20
YDL211C	3
YDL074C	179
YDL091C	23
YDR346C	782
YDR072C	122
YDR242W	16
YDR323C	40
YDR486C	30
YDR420W	48
YDL122W	216
YDR390C	97
YDR481C	148
YDR318W	30
YDL105W	14
YDL141W	18
YDR400W	124
YDR522C	0
YDL173W	62
YDR279W	42
YDR281C	8
YDR213W	43
YDR179W-A	69
YDR330W	14
YDR106W	1
YDL178W	220
YDR484W	34
YDR308C	23
YDL192W	950
YDL202W	30
YDR146C	44
YDR241W	0
YDL158C	26
YDL185W	2023
YDR251W	83
tL(UAA)D	0
YDR192C	2
YDR368W	176
YDR494W	90
YDR399W	265
YDR070C	2
YDR138W	40
YDR031W	13
YDR255C	24
YDL060W	319
YDR048C	0
YDR067C	26
YDR126W	2
YDR315C	31
YDL126C	2457
YDR262W	31
tQ(UUG)D3	0
YDR345C	922
YDR079W	12
YDR433W	0
YDL144C	25
YDR306C	48
YDR292C	265
YDL009C	2
YDR290W	1
YDR282C	25
YDR170C	739
YDR174W	91
YDL218W	1
YDL062W	0
YDL048C	11
YDR500C	605
YDR112W	0
YDR538W	19
YDL011C	2
YDR355C	0
YDR301W	59
YDR412W	32
YDR530C	30
YDR227W	42
YDR041W	74
YDR015C	0
YDL008W	37
YDR234W	213
YDR511W	3
YDR519W	107
YDL086C-A	10
YDR250C	0
YDR465C	210
YDL001W	34
YDR454C	408
YDR013W	19
YDR076W	12
YDL095W	822
YDL007C-A	0
YDL130W	307
YDR100W	35
YDR479C	10
tS(AGA)D1	0
YDL117W	158
YDR140W	20
YDR381W	518
tQ(UUG)D2	0
YDR327W	6
YDR062W	533
YDR143C	18
YDL172C	2
YDL053C	100
YDR223W	2
YDL037C	12
YDL167C	233
YDR246W-A	1
YDR371C-A	0
YDR517W	99
YDL226C	35
YDR467C	0
YDL134C	251
YDR117C	60
YDR314C	26
YDR440W	67
YDR303C	90
YDL078C	277
YDL238C	21
YDR529C	67
YDR437W	5
snR47	4
YDL196W	0
YDR452W	282
YDR445C	0
YDR347W	23
tQ(UUG)D1	0
YDR490C	34
YDR516C	113
YDR509W	0
YDL193W	44
YDL137W	258
YDL118W	2
YDR235W	61
YDR233C	23
YDR388W	123
YDR209C	6
YDR049W	61
YDL194W	24
YDR021W	61
YDR353W	708
YDR051C	106
YDR288W	52
YDR141C	212
YDR194C	479
YDR424C	44
YDR054C	78
YDR122W	49
YDR184C	28
YDR183C-A	5
YDL240W	74
YDR056C	97
YDR541C	25
YDL042C	17
YDR185C	9
YDR328C	307
YDR280W	61
tV(UAC)D	0
YDR098C	137
YDR005C	43
YDR423C	8
YDR017C	136
YDR419W	46
YDR444W	53
YDR341C	895
YDR154C	123
YDR464W	51
YDR132C	18
YDL210W	5
YDR395W	657
YDL222C	0
YDR372C	283
YDR325W	201
YDR216W	27
YDR082W	24
YDL224C	19
YDR498C	26
YDR010C	0
YDR006C	60
YDR182W	69
YDL102W	191
YDL179W	23
YDL067C	13
YDR030C	25
YDR020C	34
YDR527W	59
YDR333C	181
YDL093W	105
YDL043C	33
YDR139C	29
YDR322C-A	35
YDL130W-A	0
YDR210W	36
YDR260C	11
YDL017W	38
YDR073W	6
YDL069C	8
YDR455C	1
YDR461W	0
YDR435C	41
YDL063C	245
YDR121W	51
YDR178W	20
YDL013W	70
YDR534C	0
YDR392W	20
YDR034C-A	0
YDL132W	255
YDR535C	1
YDR202C	40
YDL050C	1
YDR524C-A	0
YDL109C	3
YDR211W	598
YDR110W	87
tG(CCC)D	0
YDR274C	0
YDR167W	36
YDR156W	1
YDL223C	3
YDR075W	16
YDR039C	239
YDL088C	45
YDL129W	15
YDL215C	126
YDR297W	179
YDR131C	22
YDR230W	0
YDR348C	69
YDL169C	0
YDR007W	0
YDL195W	230
YDR263C	14
YDR220C	0
YDR429C	588
YDR119W-A	1
YDR421W	53
YDL186W	0
YDL198C	45
YDL120W	37
YDR379W	76
YDL029W	654
YDR205W	33
YDR094W	1
YDR369C	41
YDR088C	34
YDR411C	47
YDR441C	17
YDR446W	1
YDL183C	4
YDR194W-A	0
YDR114C	0
YDR442W	0
tK(CUU)D2	0
YDL059C	16
YDR016C	20
YDR430C	70
YDR366C	0
YDR374W-A	9
YDR293C	242
YDR459C	24
YDR022C	7
YDR217C	188
YDR052C	69
YDL027C	17
YDR104C	59
YDL136W	1191
YDR248C	26
YDR078C	14
YDR068W	41
YDL080C	57
YDR461C-A	4
YDR252W	9
YDL046W	30
YDR540C	9
YDR181C	42
YDL200C	22
YDR108W	62
YDR337W	64
YDR356W	103
YDL235C	62
YDR320W-B	1
YDL245C	0
YDR170W-A	11
YDR210W-B	130
YDR210C-D	223
YDR316W-B	227
YDR261C-D	325
YDR210C-C	0
YDR261C-C	0
YDR261W-B	115
YDR365W-A	0
YDR316W-A	0
YDR261W-A	0
YDR365W-B	322
YDR098C-B	222
YDR098C-A	0
YDR210W-A	0
YDR034C-D	127
YDR034C-C	0
YOR185C	3
YOR237W	3
YOL048C	22
tG(GCC)O1	0
YOL144W	19
snR8	450
YOR082C	0
YOL072W	26
YOR114W	2
YOL085C	0
YOR385W	63
YOR214C	0
YOL119C	35
YOR019W	8
YOR206W	451
YOR345C	2
YOR341W	2585
YOL088C	39
YOR392W	0
YOR160W	90
YOR084W	3
YOR039W	79
YOR264W	41
YOR281C	134
tK(UUU)O	2
YOR230W	349
YOR144C	39
YOL081W	385
YOL052C	23
YOR285W	142
YOR058C	69
YOR270C	1851
YOL154W	3
YOR115C	121
YOL003C	34
YOR258W	13
tN(GUU)O2	0
YOL103W	301
YOR215C	75
YOL095C	38
YOL063C	28
YOL079W	0
YOR389W	4
YOR231W	14
YOR021C	313
YOR139C	0
YOR120W	21
YOL038W	292
YOR023C	4
YOL124C	173
YOR212W	170
YOL013W-A	0
YOL120C	1808
YOR181W	4
YOR333C	0
YOR335C	1871
YOL046C	3
YOL029C	24
YOL155W-A	0
YOR072W	0
YOL161C	0
snR58	0
YOL122C	105
YOR252W	12
YOR157C	10
YOL107W	5
YOR274W	69
YOL013W-B	0
YOR343C	0
YOR093C	170
YOR381W-A	0
YOL065C	38
YOR092W	46
YOR207C	467
YOR365C	1
YOL005C	19
YOL020W	520
YOL053W	34
YOL117W	26
YOR038C	39
YOR303W	55
YOR137C	43
YOL034W	78
YOR052C	85
YOR190W	3
YOL039W	508
YOR349W	6
YOL090W	290
YOR271C	66
YOR173W	12
YOR106W	28
YOR108W	184
YOR059C	66
YOL149W	75
YOR121C	15
YOL106W	0
snR9	478
YOR295W	15
YOR203W	0
YOR132W	26
YOR216C	110
YOR099W	501
YOR001W	142
YOR009W	0
YOR204W	299
YOR209C	300
YOR284W	12
YOR036W	42
YOR154W	76
YOR048C	324
YOL073C	23
YOL152W	75
YOL101C	15
YOR085W	37
YOR227W	42
YOR159C	39
YOR146W	5
YOR372C	1
YOR112W	78
YOR387C	1
YOR229W	82
YOR068C	4
YOR376W-A	8
YOL050C	0
YOR342C	13
YOL035C	0
YOR251C	140
YOR041C	1
YOR130C	23
YOR119C	109
YOL166C	0
YOR008C	131
YOL011W	170
YOR248W	0
YOR202W	0
YOR266W	26
YOR140W	3
YOR004W	159
YOR308C	33
YOR032C	1
YOR311C	79
YOL019W	43
YOL138C	18
YOL151W	79
YOR330C	103
