Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M1_IN2.bam
YDL246C	2
YDL243C	3
YDR387C	43
YDL094C	0
YDR438W	17
YDR523C	1
YDR542W	0
YDR492W	10
YDR018C	0
YDL189W	16
YDR508C	35
YDR462W	9
YDR175C	25
YDR186C	23
YDR150W	53
YDR243C	9
YDL182W	36
YDR362C	13
YDR232W	39
YDR158W	1158
YDR439W	5
YDL206W	5
YDR125C	5
YDR338C	19
YDR526C	1
YDR533C	19
YDR272W	48
YDR197W	26
YDR512C	10
YDR489W	9
YDR299W	17
YDL015C	259
YDR304C	196
YDR271C	0
YDL181W	10
YDR367W	7
YDR085C	7
YDL097C	173
YDL139C	0
YDR200C	8
YDR191W	5
YDR451C	10
YDR469W	23
YDR470C	6
YDR105C	55
YDR483W	278
YDL123W	1
YDL199C	4
YDR505C	51
YDL045W-A	12
YDL045C	35
YDR361C	94
YDR406W-A	0
YDR199W	0
YDR266C	46
YDL242W	0
YDR002W	475
YDR214W	154
YDR130C	9
YDL176W	7
YDR358W	18
YDR544C	0
YDR460W	2
snR84	6300
YDR034W-B	0
YDL028C	5
YDR061W	37
YDR060W	109
YDR169C-A	0
YDR363W	13
YDR422C	32
YDR119W	222
tR(ACG)D	0
YDR097C	28
YDR042C	2
YDL160C	37
YDR425W	3
snR13	23
YDR228C	9
YDR319C	23
YDR471W	618
YDR089W	22
tD(GUC)D	2
YDR275W	16
YDR043C	7
YDR129C	393
YDR136C	0
YDL066W	782
YDR302W	34
YDR239C	3
YDR539W	52
tK(CUU)D1	0
YDL125C	125
YDR493W	13
YDR101C	222
YDR182W-A	0
YDR212W	614
YDR476C	9
YDL131W	31
YDR458C	8
YDR081C	18
YDL071C	0
YDR113C	5
YDR168W	114
YDR520C	17
YDR307W	27
YDR265W	22
YDL076C	13
YDL006W	11
YDL086W	48
YDR238C	254
YDR077W	2
YDR381C-A	15
YDL023C	0
YDL083C	336
YDR036C	25
YDR057W	11
YDR513W	66
YDR487C	161
YDR066C	6
YDR352W	21
YDR278C	0
YDR079C-A	4
YDR204W	40
YDL247W-A	0
YDL024C	0
tA(AGC)D	0
YDR109C	12
YDR466W	4
YDR427W	265
YDL044C	1
YDL079C	1
YDR193W	0
YDR305C	26
YDR377W	91
YDR219C	23
YDR416W	18
YDR365C	20
YDL233W	2
YDR287W	7
YDR448W	21
YDR180W	48
tF(GAA)D	0
tT(AGU)D	0
YDR294C	104
YDR198C	27
YDL163W	2
YDL119C	20
YDR501W	6
YDL214C	0
YDR264C	80
YDR343C	103
YDR373W	66
YDR354W	76
YDR246W	4
YDR428C	22
YDR157W	0
YDR316W	5
YDL142C	28
YDR253C	0
YDL112W	122
YDR545W	34
YDL187C	2
YDL138W	26
YDR528W	1
YDR284C	88
YDR050C	6230
YDL010W	6
YDL065C	4
YDR349C	49
YDL098C	15
YDL234C	50
YDR118W	10
YDR118W-A	0
YDR159W	21
YDR111C	57
YDR128W	18
YDL034W	1
YDR065W	17
YDL004W	65
YDR024W	20
YDL171C	882
YDR083W	22
YDR457W	131
YDR014W	9
YDR206W	81
YDR478W	4
YDR169C	2
YDR115W	15
YDL159W-A	0
YDL232W	0
YDL240C-A	0
tE(CUC)D	0
YDL152W	0
