Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M1_IP2.bam
YDL246C	2
YDL243C	7
YDR387C	42
YDL094C	1
YDR438W	22
YDR523C	6
YDR542W	0
YDR492W	44
YDR018C	0
YDL189W	59
YDR508C	111
YDR462W	15
YDR175C	30
YDR186C	75
YDR150W	391
YDR243C	46
YDL182W	104
YDR362C	34
YDR232W	160
YDR158W	946
YDR439W	22
YDL206W	14
YDR125C	11
YDR338C	23
YDR526C	10
YDR533C	28
YDR272W	87
YDR197W	26
YDR512C	19
YDR489W	22
YDR299W	95
YDL015C	169
YDR304C	268
YDR271C	1
YDL181W	17
YDR367W	32
YDR085C	22
YDL097C	276
YDL139C	7
YDR200C	35
YDR191W	15
YDR451C	44
YDR469W	31
YDR470C	18
YDR105C	27
YDR483W	176
YDL123W	7
YDL199C	8
YDR505C	74
YDL045W-A	39
YDL045C	30
YDR361C	140
YDR406W-A	1
YDR199W	1
YDR266C	97
YDL242W	0
YDR002W	751
YDR214W	160
YDR130C	25
YDL176W	49
YDR358W	17
YDR544C	0
YDR460W	21
snR84	1018
YDR034W-B	1
YDL028C	34
YDR061W	42
YDR060W	325
YDR169C-A	0
YDR363W	21
YDR422C	42
YDR119W	135
tR(ACG)D	0
YDR097C	97
YDR042C	2
YDL160C	215
YDR425W	19
snR13	561
YDR228C	34
YDR319C	33
YDR471W	1312
YDR089W	57
tD(GUC)D	0
YDR275W	25
YDR043C	24
YDR129C	266
YDR136C	3
YDL066W	562
YDR302W	26
YDR239C	26
YDR539W	45
tK(CUU)D1	0
YDL125C	222
YDR493W	24
YDR101C	268
YDR182W-A	3
YDR212W	416
YDR476C	48
YDL131W	104
YDR458C	30
YDR081C	85
YDL071C	1
YDR113C	24
YDR168W	122
YDR520C	31
YDR307W	27
YDR265W	15
YDL076C	36
YDL006W	43
YDL086W	148
YDR238C	401
YDR077W	35
YDR381C-A	11
YDL023C	4
YDL083C	1341
YDR036C	65
YDR057W	22
YDR513W	78
YDR487C	224
YDR066C	7
YDR352W	27
YDR278C	0
YDR079C-A	4
YDR204W	43
YDL247W-A	0
YDL024C	4
tA(AGC)D	0
YDR109C	22
YDR466W	44
YDR427W	188
YDL044C	14
YDL079C	3
YDR193W	1
YDR305C	34
YDR377W	127
YDR219C	33
YDR416W	39
YDR365C	271
YDL233W	22
YDR287W	28
YDR448W	59
YDR180W	81
tF(GAA)D	1
tT(AGU)D	0
YDR294C	83
YDR198C	30
YDL163W	2
YDL119C	16
YDR501W	10
YDL214C	2
YDR264C	84
YDR343C	37
YDR373W	86
YDR354W	95
YDR246W	21
YDR428C	47
YDR157W	7
YDR316W	12
YDL142C	24
YDR253C	3
YDL112W	268
YDR545W	166
YDL187C	2
YDL138W	42
YDR528W	31
YDR284C	48
YDR050C	8178
YDL010W	22
YDL065C	18
YDR349C	86
YDL098C	12
YDL234C	52
YDR118W	23
YDR118W-A	0
YDR159W	87
YDR111C	59
YDR128W	85
YDL034W	1
YDR065W	19
YDL004W	168
YDR024W	16
YDL171C	1908
YDR083W	92
YDR457W	745
YDR014W	22
YDR206W	79
YDR478W	13
YDR169C	17
YDR115W	34
YDL159W-A	0
YDL232W	8
YDL240C-A	0
tE(CUC)D	0
YDL152W	1
YDR432W	67
YDL022C-A	0
YDL114W-A	1
YDR410C	48
YDR464C-A	1
YDL072C	61
YDR053W	2
YDL012C	26
YDR482C	19
YDL070W	284
YDR064W	3324
YDL135C	113
YDL077C	50
YDR354C-A	4
YDL033C	23
YDL031W	174
YDR398W	140
YDR326C	141
YDL052C	57
YDR536W	5
YDR397C	77
YDL116W	105
YDR028C	143
YDL007W	161
YDR236C	35
YDR011W	269
YDR155C	692
YDR414C	25
YDR026C	26
YDL073W	73
tY(GUA)D	0
YDL115C	25
YDL145C	817
YDR203W	1
YDL104C	15
YDL149W	18
YDR231C	13
YDR045C	66
YDL075W	1545
YDR415C	19
YDR339C	130
YDL213C	121
YDR096W	37
YDL019C	103
YDL022W	155
YDR413C	5
YDR391C	23
YDR091C	351
YDR240C	33
YDL244W	1
YDR179C	11
YDL165W	81
YDL140C	1261
YDR120C	160
YDR003W	12
YDR499W	21
YDR166C	67
YDL092W	64
YDL041W	2
YDL241W	24
YDL082W	2059
YDR277C	10
YDR291W	83
YDR475C	29
YDR244W	28
YDR407C	85
YDR382W	2631
YDR102C	0
YDL188C	124
YDR405W	16
YDR443C	82
YDR059C	25
YDR144C	94
YDL157C	77
YDL058W	176
YDL096C	11
YDL155W	68
YDR147W	51
YDL191W	1209
YDL128W	54
YDR310C	67
YDL160C-A	16
YDR127W	822
YDR497C	243
YDL162C	0
tS(AGA)D3	1
YDR201W	16
YDR163W	15
YDL146W	25
YDR363W-A	84
YDL221W	2
YDL089W	28
YDR385W	5605
YDR331W	55
YDR196C	47
YDR116C	56
YDR001C	109
YDL230W	18
YDR160W	48
YDR123C	13
YDR322W	35
YDR040C	126
YDR025W	2184
YDR046C	169
YDL057W	4
YDL248W	24
YDR008C	0
YDR029W	0
YDR485C	23
YDR408C	169
YDR038C	128
YDL204W	9
YDR019C	55
YDR477W	93
YDR254W	25
YDR514C	37
YDR296W	43
YDL216C	11
YDL100C	674
YDL068W	1
YDL026W	2
YDL124W	124
YDL227C	69
YDL111C	195
YDR324C	151
YDL170W	44
YDR317W	3
YDR436W	16
YDR208W	101
YDR386W	24
YDR504C	10
YDL220C	25
YDR396W	12
YDR258C	121
YDR176W	61
YDL099W	49
YDR380W	19
YDL110C	22
YDR148C	163
YDL201W	117
YDL107W	9
YDR515W	25
YDR133C	167
YDR378C	55
YDR473C	11
YDR403W	4
YDR268W	38
YDR409W	43
YDR173C	26
YDR187C	16
YDR389W	82
YDR417C	90
YDR165W	196
YDL113C	43
YDR426C	0
YDR521W	1
YDR086C	184
YDL021W	10
YDR023W	816
YDR394W	243
YDR320C-A	26
YDR003W-A	3
YDR183W	15
YDR245W	71
YDR431W	1
YDL154W	18
YDL184C	127
YDR153C	52
YDR014W-A	0
YDR434W	48
YDL002C	25
YDR225W	1127
YDR418W	4017
YDR224C	493
YDR502C	146
YDR447C	2065
YDL039C	91
YDL225W	79
YDR259C	5
YDR495C	25
YDL151C	7
YDR357C	16
YDR370C	34
YDR298C	199
YDR276C	150
YDL185C-A	5
YDR545C-A	1
tM(CAU)D	0
YDL247W	3
YDR406W	35
YDR273W	5
YDR269C	0
YDR453C	6
YDR383C	15
YDR375C	57
YDL161W	29
YDL051W	422
YDR084C	48
YDL056W	36
YDR344C	3
YDR320C	16
YDR221W	46
tI(AAU)D	0
YDL032W	1
YDR456W	56
YDL036C	57
tL(CAA)D	0
YDL217C	40
snR63	3083
YDR334W	126
YDL049C	19
YDL164C	56
YDR384C	72
YDR149C	3
YDR093W	168
YDR071C	248
YDL143W	373
YDR032C	123
tR(UCU)D	0
YDR063W	63
YDL166C	57
YDR004W	39
YDR151C	47
YDR037W	965
YDL175C	20
YDR286C	10
YDR172W	506
YDL174C	56
YDR080W	42
YDR503C	14
YDR069C	27
YDR047W	94
YDR215C	0
YDR267C	49
YDR142C	34
YDL212W	191
YDR249C	42
YDL209C	17
YDR044W	108
tK(UUU)D	1
YDR311W	54
YDL159C-B	0
YDR222W	24
YDR510C-A	1
YDR401W	7
YDR207C	25
YDL005C	35
YDR295C	41
YDR543C	0
YDL208W	345
YDR135C	224
YDL114W	1
YDR247W	13
YDL197C	17
YDR229W	35
YDR095C	1
YDR027C	57
YDL106C	21
YDR404C	100
YDR256C	18
YDR518W	42
YDR055W	62
YDL087C	11
YDR177W	91
YDL014W	698
YDR289C	29
YDL159W	24
YDR532C	16
YDR137W	42
YDL153C	92
YDR393W	21
YDR506C	12
YDL219W	75
YDL090C	56
YDR033W	667
YDR035W	233
YDR332W	20
YDR510W	163
YDL055C	2010
YDR480W	16
YDL103C	100
YDL085C-A	19
YDR350C	45
YDR342C	48
YDR087C	125
YDL236W	180
YDR012W	2341
YDL121C	80
YDR525W-A	30
tG(GCC)D2	1
YDL190C	128
YDL047W	114
YDR099W	151
YDR092W	89
YDR164C	59
YDR058C	11
YDL020C	79
YDL025C	27
YDR374C	0
YDL207W	41
YDR270W	16
YDR152W	113
YDL148C	183
tI(UAU)D	10
YDR379C-A	6
YDR218C	2
YDL018C	37
YDR507C	82
YDL003W	55
YDR524C-B	941
YDR371W	27
YDR359C	47
YDL180W	26
YDL133W	44
YDR335W	240
YDR351W	57
YDL150W	81
YDL177C	13
YDR171W	70
YDR364C	29
YDR309C	43
YDL239C	4
YDL228C	143
YDL156W	30
YDL016C	25
tX(XXX)D	1
