Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M1_IN3.bam
YDL246C	2
YDL243C	11
YDR387C	39
YDL094C	0
YDR438W	22
YDR523C	10
YDR542W	0
YDR492W	19
YDR018C	2
YDL189W	9
YDR508C	98
YDR462W	10
YDR175C	20
YDR186C	52
YDR150W	188
YDR243C	24
YDL182W	95
YDR362C	24
YDR232W	56
YDR158W	2163
YDR439W	6
YDL206W	9
YDR125C	5
YDR338C	28
YDR526C	1
YDR533C	47
YDR272W	28
YDR197W	11
YDR512C	11
YDR489W	16
YDR299W	43
YDL015C	294
YDR304C	260
YDR271C	0
YDL181W	15
YDR367W	17
YDR085C	12
YDL097C	156
YDL139C	3
YDR200C	9
YDR191W	12
YDR451C	10
YDR469W	2
YDR470C	9
YDR105C	65
YDR483W	475
YDL123W	0
YDL199C	23
YDR505C	91
YDL045W-A	1
YDL045C	18
YDR361C	67
YDR406W-A	1
YDR199W	0
YDR266C	57
YDL242W	0
YDR002W	202
YDR214W	218
YDR130C	11
YDL176W	12
YDR358W	15
YDR544C	0
YDR460W	11
snR84	3821
YDR034W-B	3
YDL028C	18
YDR061W	47
YDR060W	144
YDR169C-A	0
YDR363W	9
YDR422C	81
YDR119W	308
tR(ACG)D	0
YDR097C	70
YDR042C	0
YDL160C	94
YDR425W	2
snR13	246
YDR228C	10
YDR319C	23
YDR471W	345
YDR089W	39
tD(GUC)D	3
YDR275W	14
YDR043C	3
YDR129C	430
YDR136C	0
YDL066W	1683
YDR302W	21
YDR239C	25
YDR539W	51
tK(CUU)D1	1
YDL125C	108
YDR493W	8
YDR101C	164
YDR182W-A	1
YDR212W	664
YDR476C	40
YDL131W	65
YDR458C	25
YDR081C	37
YDL071C	2
YDR113C	11
YDR168W	76
YDR520C	30
YDR307W	42
YDR265W	6
YDL076C	10
YDL006W	27
YDL086W	94
YDR238C	487
YDR077W	57
YDR381C-A	9
YDL023C	4
YDL083C	486
YDR036C	36
YDR057W	17
YDR513W	81
YDR487C	304
YDR066C	6
YDR352W	35
YDR278C	0
YDR079C-A	2
YDR204W	44
YDL247W-A	0
YDL024C	5
tA(AGC)D	0
YDR109C	14
YDR466W	18
YDR427W	84
YDL044C	7
YDL079C	6
YDR193W	0
YDR305C	13
YDR377W	75
YDR219C	9
YDR416W	41
YDR365C	64
YDL233W	6
YDR287W	15
YDR448W	20
YDR180W	62
tF(GAA)D	0
tT(AGU)D	0
YDR294C	149
YDR198C	18
YDL163W	1
YDL119C	4
YDR501W	9
YDL214C	2
YDR264C	287
YDR343C	273
YDR373W	40
YDR354W	160
YDR246W	8
YDR428C	33
YDR157W	1
YDR316W	1
YDL142C	10
YDR253C	1
YDL112W	165
YDR545W	171
YDL187C	5
YDL138W	47
YDR528W	9
YDR284C	75
YDR050C	5262
YDL010W	11
YDL065C	8
