Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IN1.bam
YDL246C	4
YDL243C	14
YDR387C	28
YDL094C	0
YDR438W	21
YDR523C	5
YDR542W	0
YDR492W	31
YDR018C	1
YDL189W	42
YDR508C	55
YDR462W	15
YDR175C	56
YDR186C	73
YDR150W	393
YDR243C	68
YDL182W	47
YDR362C	42
YDR232W	43
YDR158W	988
YDR439W	5
YDL206W	16
YDR125C	19
YDR338C	47
YDR526C	1
YDR533C	19
YDR272W	171
YDR197W	25
YDR512C	19
YDR489W	14
YDR299W	118
YDL015C	395
YDR304C	241
YDR271C	0
YDL181W	5
YDR367W	11
YDR085C	16
YDL097C	273
YDL139C	7
YDR200C	63
YDR191W	9
YDR451C	30
YDR469W	53
YDR470C	10
YDR105C	81
YDR483W	400
YDL123W	0
YDL199C	5
YDR505C	165
YDL045W-A	26
YDL045C	66
YDR361C	155
YDR406W-A	1
YDR199W	1
YDR266C	122
YDL242W	0
YDR002W	1051
YDR214W	219
YDR130C	30
YDL176W	17
YDR358W	60
YDR544C	0
YDR460W	36
snR84	2548
YDR034W-B	0
YDL028C	49
YDR061W	124
YDR060W	1054
YDR169C-A	0
YDR363W	36
YDR422C	80
YDR119W	552
tR(ACG)D	0
YDR097C	166
YDR042C	1
YDL160C	62
YDR425W	4
snR13	184
YDR228C	21
YDR319C	42
YDR471W	734
YDR089W	43
tD(GUC)D	0
YDR275W	40
YDR043C	8
YDR129C	1169
YDR136C	2
YDL066W	819
YDR302W	87
YDR239C	26
YDR539W	124
tK(CUU)D1	0
YDL125C	158
YDR493W	19
YDR101C	432
YDR182W-A	2
YDR212W	973
YDR476C	4
YDL131W	31
YDR458C	67
YDR081C	101
YDL071C	1
YDR113C	15
YDR168W	283
YDR520C	74
YDR307W	101
YDR265W	37
YDL076C	26
YDL006W	59
YDL086W	60
YDR238C	649
YDR077W	14
YDR381C-A	28
YDL023C	1
YDL083C	367
YDR036C	36
YDR057W	52
YDR513W	97
YDR487C	247
YDR066C	10
YDR352W	29
YDR278C	0
YDR079C-A	9
YDR204W	62
YDL247W-A	0
YDL024C	0
tA(AGC)D	0
YDR109C	40
YDR466W	38
YDR427W	455
YDL044C	28
YDL079C	9
YDR193W	0
YDR305C	46
YDR377W	130
YDR219C	43
