Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M1_IN1.bam
YDL246C	2
YDL243C	2
YDR387C	10
YDL094C	0
YDR438W	2
YDR523C	0
YDR542W	0
YDR492W	16
YDR018C	0
YDL189W	10
YDR508C	33
YDR462W	6
YDR175C	18
YDR186C	17
YDR150W	51
YDR243C	9
YDL182W	24
YDR362C	1
YDR232W	35
YDR158W	858
YDR439W	6
YDL206W	8
YDR125C	1
YDR338C	13
YDR526C	1
YDR533C	7
YDR272W	33
YDR197W	7
YDR512C	2
YDR489W	2
YDR299W	21
YDL015C	136
YDR304C	137
YDR271C	0
YDL181W	2
YDR367W	5
YDR085C	1
YDL097C	95
YDL139C	0
YDR200C	4
YDR191W	6
YDR451C	10
YDR469W	14
YDR470C	3
YDR105C	35
YDR483W	111
YDL123W	1
YDL199C	1
YDR505C	23
YDL045W-A	10
YDL045C	20
YDR361C	57
YDR406W-A	0
YDR199W	0
YDR266C	37
YDL242W	0
YDR002W	322
YDR214W	86
YDR130C	14
YDL176W	7
YDR358W	10
YDR544C	0
YDR460W	6
snR84	6370
YDR034W-B	0
YDL028C	8
YDR061W	18
YDR060W	68
YDR169C-A	0
YDR363W	2
YDR422C	20
YDR119W	110
tR(ACG)D	0
YDR097C	35
YDR042C	0
YDL160C	37
YDR425W	2
snR13	145
YDR228C	10
YDR319C	14
YDR471W	400
YDR089W	15
tD(GUC)D	9
YDR275W	5
YDR043C	3
YDR129C	170
YDR136C	1
YDL066W	559
YDR302W	10
YDR239C	2
YDR539W	21
tK(CUU)D1	1
YDL125C	41
YDR493W	8
YDR101C	124
YDR182W-A	0
YDR212W	365
YDR476C	14
YDL131W	27
YDR458C	4
YDR081C	16
YDL071C	1
YDR113C	1
YDR168W	70
YDR520C	5
YDR307W	20
YDR265W	6
YDL076C	11
YDL006W	8
YDL086W	39
YDR238C	153
YDR077W	3
YDR381C-A	10
YDL023C	0
YDL083C	250
YDR036C	18
YDR057W	4
YDR513W	35
YDR487C	74
YDR066C	2
YDR352W	12
YDR278C	0
YDR079C-A	6
YDR204W	25
YDL247W-A	0
YDL024C	0
tA(AGC)D	0
YDR109C	6
YDR466W	8
YDR427W	128
YDL044C	4
YDL079C	0
YDR193W	0
YDR305C	16
YDR377W	38
YDR219C	12
YDR416W	13
YDR365C	20
YDL233W	4
YDR287W	8
YDR448W	13
YDR180W	21
tF(GAA)D	1
tT(AGU)D	0
YDR294C	42
YDR198C	10
YDL163W	0
YDL119C	7
YDR501W	7
YDL214C	0
YDR264C	64
YDR343C	62
YDR373W	43
YDR354W	43
YDR246W	5
YDR428C	13
YDR157W	0
YDR316W	1
YDL142C	14
YDR253C	0
YDL112W	68
YDR545W	28
YDL187C	1
YDL138W	13
YDR528W	1
YDR284C	40
YDR050C	3545
YDL010W	2
YDL065C	3
YDR349C	22
YDL098C	6
YDL234C	10
YDR118W	4
YDR118W-A	0
YDR159W	14
YDR111C	23
YDR128W	21
YDL034W	0
YDR065W	6
YDL004W	30
YDR024W	6
YDL171C	811
YDR083W	16
YDR457W	76
YDR014W	3
YDR206W	28
YDR478W	5
YDR169C	0
YDR115W	8
YDL159W-A	0
YDL232W	2
YDL240C-A	0
tE(CUC)D	0
YDL152W	0
YDR432W	19
YDL022C-A	0
YDL114W-A	0
YDR410C	36
YDR464C-A	0
YDL072C	30
YDR053W	2
YDL012C	2
YDR482C	3
YDL070W	75
YDR064W	875
YDL135C	39
YDL077C	13
YDR354C-A	1
YDL033C	6
YDL031W	26
YDR398W	36
YDR326C	27
YDL052C	23
YDR536W	1
YDR397C	16
YDL116W	46
YDR028C	19
YDL007W	79
YDR236C	13
YDR011W	70
YDR155C	315
YDR414C	8
YDR026C	4
YDL073W	16
tY(GUA)D	2
YDL115C	2
YDL145C	235
YDR203W	0
YDL104C	4
YDL149W	5
YDR231C	8
YDR045C	27
YDL075W	483
YDR415C	6
YDR339C	39
YDL213C	21
YDR096W	2
YDL019C	21
YDL022W	16
YDR413C	0
YDR391C	17
YDR091C	162
YDR240C	16
YDL244W	1
YDR179C	2
YDL165W	37
YDL140C	180
YDR120C	42
YDR003W	7
YDR499W	9
YDR166C	12
YDL092W	19
YDL041W	0
YDL241W	2
YDL082W	439
YDR277C	1
YDR291W	13
YDR475C	2
YDR244W	5
YDR407C	15
YDR382W	1478
YDR102C	0
YDL188C	21
YDR405W	6
YDR443C	13
YDR059C	7
YDR144C	51
YDL157C	30
YDL058W	51
YDL096C	10
YDL155W	6
YDR147W	8
YDL191W	552
YDL128W	28
YDR310C	12
YDL160C-A	10
YDR127W	430
YDR497C	197
YDL162C	0
tS(AGA)D3	0
YDR201W	6
YDR163W	1
YDL146W	2
YDR363W-A	46
YDL221W	0
YDL089W	9
YDR385W	10682
YDR331W	27
YDR196C	20
YDR116C	19
YDR001C	49
YDL230W	9
YDR160W	10
YDR123C	3
YDR322W	12
YDR040C	75
YDR025W	207
YDR046C	69
YDL057W	2
YDL248W	11
YDR008C	0
YDR029W	0
YDR485C	7
YDR408C	58
YDR038C	64
YDL204W	0
YDR019C	32
YDR477W	13
YDR254W	5
YDR514C	4
YDR296W	6
YDL216C	3
YDL100C	275
YDL068W	1
YDL026W	1
YDL124W	12
YDL227C	40
YDL111C	19
YDR324C	69
YDL170W	6
YDR317W	0
YDR436W	0
YDR208W	21
YDR386W	5
YDR504C	1
YDL220C	5
YDR396W	2
YDR258C	25
YDR176W	11
YDL099W	2
YDR380W	19
YDL110C	6
YDR148C	111
YDL201W	14
YDL107W	3
YDR515W	8
YDR133C	22
YDR378C	24
YDR473C	1
YDR403W	1
YDR268W	10
YDR409W	2
YDR173C	9
YDR187C	2
YDR389W	12
YDR417C	13
YDR165W	55
YDL113C	10
YDR426C	0
YDR521W	0
YDR086C	63
YDL021W	6
YDR023W	499
YDR394W	86
YDR320C-A	9
YDR003W-A	1
YDR183W	6
YDR245W	26
YDR431W	0
YDL154W	6
YDL184C	57
YDR153C	6
YDR014W-A	0
YDR434W	44
YDL002C	4
YDR225W	383
YDR418W	867
YDR224C	29
YDR502C	143
YDR447C	722
YDL039C	3
YDL225W	29
YDR259C	0
YDR495C	9
YDL151C	1
YDR357C	14
YDR370C	24
YDR298C	67
YDR276C	17
YDL185C-A	3
YDR545C-A	0
tM(CAU)D	0
YDL247W	0
YDR406W	11
YDR273W	0
YDR269C	0
YDR453C	0
YDR383C	8
YDR375C	17
YDL161W	9
YDL051W	135
YDR084C	14
YDL056W	1
YDR344C	0
YDR320C	1
YDR221W	12
tI(AAU)D	0
YDL032W	0
YDR456W	42
YDL036C	10
tL(CAA)D	3
YDL217C	17
snR63	2427
YDR334W	22
YDL049C	3
YDL164C	27
YDR384C	6
YDR149C	0
YDR093W	35
YDR071C	88
YDL143W	225
YDR032C	70
tR(UCU)D	0
YDR063W	18
YDL166C	20
YDR004W	8
YDR151C	17
YDR037W	469
YDL175C	5
YDR286C	5
YDR172W	149
YDL174C	27
YDR080W	8
YDR503C	7
YDR069C	6
YDR047W	39
YDR215C	0
YDR267C	10
YDR142C	9
YDL212W	115
YDR249C	10
YDL209C	2
YDR044W	31
tK(UUU)D	0
YDR311W	9
YDL159C-B	0
YDR222W	16
YDR510C-A	0
YDR401W	2
YDR207C	1
YDL005C	2
YDR295C	14
