Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN1.bam
YDL246C	0
YDL243C	0
YDR387C	2
YDL094C	0
YDR438W	2
YDR523C	0
YDR542W	0
YDR492W	6
YDR018C	0
YDL189W	9
YDR508C	11
YDR462W	1
YDR175C	3
YDR186C	7
YDR150W	17
YDR243C	4
YDL182W	14
YDR362C	4
YDR232W	20
YDR158W	338
YDR439W	1
YDL206W	0
YDR125C	0
YDR338C	2
YDR526C	1
YDR533C	9
YDR272W	20
YDR197W	1
YDR512C	1
YDR489W	1
YDR299W	13
YDL015C	38
YDR304C	49
YDR271C	0
YDL181W	1
YDR367W	5
YDR085C	3
YDL097C	53
YDL139C	0
YDR200C	5
YDR191W	1
YDR451C	2
YDR469W	5
YDR470C	2
YDR105C	8
YDR483W	38
YDL123W	0
YDL199C	0
YDR505C	8
YDL045W-A	0
YDL045C	3
YDR361C	26
YDR406W-A	0
YDR199W	0
YDR266C	18
YDL242W	0
YDR002W	149
YDR214W	28
YDR130C	2
YDL176W	3
YDR358W	7
YDR544C	0
YDR460W	1
snR84	2378
YDR034W-B	0
YDL028C	5
YDR061W	4
YDR060W	46
YDR169C-A	0
YDR363W	1
YDR422C	8
YDR119W	53
tR(ACG)D	0
YDR097C	17
YDR042C	0
YDL160C	26
YDR425W	1
snR13	47
YDR228C	4
YDR319C	4
YDR471W	185
YDR089W	6
tD(GUC)D	0
YDR275W	5
YDR043C	1
YDR129C	94
YDR136C	0
YDL066W	158
YDR302W	4
YDR239C	3
YDR539W	13
tK(CUU)D1	0
YDL125C	29
YDR493W	6
YDR101C	49
YDR182W-A	0
YDR212W	139
YDR476C	3
YDL131W	8
YDR458C	3
YDR081C	8
YDL071C	0
YDR113C	0
YDR168W	28
YDR520C	6
YDR307W	5
YDR265W	3
YDL076C	0
YDL006W	7
YDL086W	14
YDR238C	65
YDR077W	4
YDR381C-A	3
YDL023C	0
YDL083C	144
YDR036C	3
YDR057W	5
YDR513W	11
YDR487C	36
YDR066C	1
YDR352W	1
YDR278C	0
YDR079C-A	1
YDR204W	9
YDL247W-A	1
YDL024C	0
tA(AGC)D	0
YDR109C	8
YDR466W	2
YDR427W	37
YDL044C	4
YDL079C	0
YDR193W	0
YDR305C	8
YDR377W	21
YDR219C	7
YDR416W	6
YDR365C	10
YDL233W	2
YDR287W	8
YDR448W	5
YDR180W	3
tF(GAA)D	2
tT(AGU)D	0
YDR294C	18
YDR198C	5
YDL163W	0
YDL119C	2
YDR501W	0
YDL214C	0
YDR264C	18
YDR343C	16
YDR373W	23
YDR354W	9
YDR246W	3
YDR428C	10
YDR157W	1
YDR316W	2
YDL142C	1
YDR253C	1
YDL112W	25
YDR545W	9
YDL187C	1
YDL138W	5
YDR528W	0
YDR284C	7
YDR050C	1771
YDL010W	3
YDL065C	2
YDR349C	13
YDL098C	1
YDL234C	3
YDR118W	2
YDR118W-A	0
YDR159W	9
YDR111C	16
YDR128W	6
YDL034W	0
YDR065W	2
YDL004W	12
YDR024W	5
YDL171C	328
YDR083W	15
YDR457W	31
YDR014W	0
YDR206W	7
YDR478W	2
YDR169C	0
YDR115W	7
YDL159W-A	0
YDL232W	1
YDL240C-A	0
tE(CUC)D	0
YDL152W	0
YDR432W	13
YDL022C-A	0
YDL114W-A	1
YDR410C	8
YDR464C-A	0
YDL072C	7
YDR053W	0
YDL012C	2
YDR482C	1
YDL070W	19
YDR064W	513
YDL135C	18
YDL077C	6
YDR354C-A	1
YDL033C	2
YDL031W	33
YDR398W	18
YDR326C	6
YDL052C	12
YDR536W	0
YDR397C	8
YDL116W	28
YDR028C	15
YDL007W	56
YDR236C	3
YDR011W	28
YDR155C	118
YDR414C	2
YDR026C	6
YDL073W	14
tY(GUA)D	0
YDL115C	6
YDL145C	96
YDR203W	0
YDL104C	4
YDL149W	3
YDR231C	3
YDR045C	17
YDL075W	224
YDR415C	3
YDR339C	21
YDL213C	18
YDR096W	1
YDL019C	10
YDL022W	7
YDR413C	0
YDR391C	0
YDR091C	74
YDR240C	4
YDL244W	0
YDR179C	6
YDL165W	18
YDL140C	91
YDR120C	28
YDR003W	2
YDR499W	4
YDR166C	13
YDL092W	9
YDL041W	0
YDL241W	0
YDL082W	211
YDR277C	3
YDR291W	9
YDR475C	7
YDR244W	9
YDR407C	12
YDR382W	679
YDR102C	0
YDL188C	12
YDR405W	2
YDR443C	4
YDR059C	1
YDR144C	17
YDL157C	16
YDL058W	19
YDL096C	2
YDL155W	5
YDR147W	7
YDL191W	273
YDL128W	16
YDR310C	8
YDL160C-A	1
YDR127W	183
YDR497C	67
YDL162C	0
tS(AGA)D3	0
YDR201W	6
YDR163W	2
YDL146W	1
YDR363W-A	18
YDL221W	0
YDL089W	0
YDR385W	2571
YDR331W	8
YDR196C	8
YDR116C	3
YDR001C	14
YDL230W	5
YDR160W	11
YDR123C	0
YDR322W	8
YDR040C	22
YDR025W	80
YDR046C	19
YDL057W	1
YDL248W	3
YDR008C	0
YDR029W	0
YDR485C	2
YDR408C	15
YDR038C	16
YDL204W	2
YDR019C	14
YDR477W	8
YDR254W	4
YDR514C	6
YDR296W	5
YDL216C	0
YDL100C	136
YDL068W	0
YDL026W	0
YDL124W	11
YDL227C	17
YDL111C	9
YDR324C	32
YDL170W	8
YDR317W	0
YDR436W	0
YDR208W	12
YDR386W	3
YDR504C	2
YDL220C	3
YDR396W	0
YDR258C	13
YDR176W	7
YDL099W	2
YDR380W	4
YDL110C	1
YDR148C	33
YDL201W	9
YDL107W	1
YDR515W	7
YDR133C	12
YDR378C	6
YDR473C	0
YDR403W	0
YDR268W	7
YDR409W	2
YDR173C	3
YDR187C	4
YDR389W	7
YDR417C	7
YDR165W	37
YDL113C	7
YDR426C	2
YDR521W	0
YDR086C	24
YDL021W	2
YDR023W	236
YDR394W	31
YDR320C-A	9
YDR003W-A	0
YDR183W	1
YDR245W	17
YDR431W	0
YDL154W	6
YDL184C	35
YDR153C	8
YDR014W-A	0
YDR434W	10
YDL002C	4
YDR225W	157
YDR418W	347
YDR224C	26
