Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IP1.bam
YDL246C	5
YDL243C	4
YDR387C	21
YDL094C	4
YDR438W	14
YDR523C	4
YDR542W	2
YDR492W	56
YDR018C	2
YDL189W	48
YDR508C	42
YDR462W	19
YDR175C	40
YDR186C	52
YDR150W	103
YDR243C	18
YDL182W	155
YDR362C	19
YDR232W	66
YDR158W	515
YDR439W	16
YDL206W	10
YDR125C	7
YDR338C	42
YDR526C	5
YDR533C	41
YDR272W	99
YDR197W	25
YDR512C	15
YDR489W	20
YDR299W	75
YDL015C	296
YDR304C	297
YDR271C	1
YDL181W	9
YDR367W	21
YDR085C	16
YDL097C	341
YDL139C	4
YDR200C	19
YDR191W	16
YDR451C	34
YDR469W	38
YDR470C	26
YDR105C	75
YDR483W	400
YDL123W	4
YDL199C	5
YDR505C	51
YDL045W-A	29
YDL045C	60
YDR361C	130
YDR406W-A	0
YDR199W	0
YDR266C	73
YDL242W	0
YDR002W	863
YDR214W	164
YDR130C	21
YDL176W	18
YDR358W	25
YDR544C	1
YDR460W	22
snR84	1271
YDR034W-B	1
YDL028C	29
YDR061W	46
YDR060W	175
YDR169C-A	0
YDR363W	24
YDR422C	32
YDR119W	119
tR(ACG)D	0
YDR097C	64
YDR042C	0
YDL160C	64
YDR425W	14
snR13	394
YDR228C	31
YDR319C	27
YDR471W	896
YDR089W	37
tD(GUC)D	1
YDR275W	20
YDR043C	10
YDR129C	222
YDR136C	1
YDL066W	640
YDR302W	52
YDR239C	28
YDR539W	62
tK(CUU)D1	0
YDL125C	286
YDR493W	18
YDR101C	140
YDR182W-A	0
YDR212W	412
YDR476C	23
YDL131W	80
YDR458C	16
YDR081C	42
YDL071C	5
YDR113C	17
YDR168W	83
YDR520C	34
YDR307W	36
YDR265W	23
YDL076C	35
YDL006W	17
YDL086W	140
YDR238C	235
YDR077W	104
YDR381C-A	15
YDL023C	7
YDL083C	1737
YDR036C	34
YDR057W	45
YDR513W	131
YDR487C	215
YDR066C	5
YDR352W	59
YDR278C	0
YDR079C-A	9
YDR204W	48
YDL247W-A	1
YDL024C	7
tA(AGC)D	0
YDR109C	16
YDR466W	27
YDR427W	248
YDL044C	12
YDL079C	5
YDR193W	2
YDR305C	27
YDR377W	116
YDR219C	53
YDR416W	19
YDR365C	95
YDL233W	11
YDR287W	27
YDR448W	34
YDR180W	42
tF(GAA)D	0
tT(AGU)D	0
YDR294C	138
YDR198C	29
YDL163W	3
YDL119C	23
YDR501W	7
YDL214C	2
YDR264C	93
YDR343C	35
YDR373W	92
YDR354W	79
YDR246W	47
YDR428C	54
YDR157W	2
YDR316W	6
YDL142C	24
YDR253C	1
YDL112W	101
YDR545W	38
YDL187C	10
YDL138W	17
YDR528W	14
YDR284C	65
YDR050C	5353
YDL010W	21
YDL065C	36
YDR349C	99
YDL098C	23
YDL234C	55
YDR118W	22
YDR118W-A	0
YDR159W	49
YDR111C	31
YDR128W	19
YDL034W	0
YDR065W	19
YDL004W	155
YDR024W	9
YDL171C	370
YDR083W	87
YDR457W	213
YDR014W	19
YDR206W	49
YDR478W	14
YDR169C	10
YDR115W	27
YDL159W-A	0
YDL232W	18
YDL240C-A	0
tE(CUC)D	0
YDL152W	3
YDR432W	93
YDL022C-A	0
YDL114W-A	2
YDR410C	70
YDR464C-A	1
YDL072C	155
YDR053W	2
YDL012C	37
YDR482C	12
YDL070W	228
YDR064W	2508
YDL135C	112
YDL077C	18
YDR354C-A	5
YDL033C	32
YDL031W	84
YDR398W	138
YDR326C	88
YDL052C	95
YDR536W	1
YDR397C	47
YDL116W	81
YDR028C	82
YDL007W	158
YDR236C	39
YDR011W	115
YDR155C	885
YDR414C	25
YDR026C	16
YDL073W	39
tY(GUA)D	0
YDL115C	33
YDL145C	317
YDR203W	5
YDL104C	12
YDL149W	8
YDR231C	20
YDR045C	52
YDL075W	1792
YDR415C	25
YDR339C	96
YDL213C	123
YDR096W	10
YDL019C	75
YDL022W	103
YDR413C	10
YDR391C	36
YDR091C	159
YDR240C	36
YDL244W	2
YDR179C	5
YDL165W	80
YDL140C	293
YDR120C	89
YDR003W	19
YDR499W	15
YDR166C	48
YDL092W	60
YDL041W	1
YDL241W	24
YDL082W	1805
YDR277C	7
YDR291W	44
YDR475C	29
YDR244W	32
YDR407C	49
YDR382W	2849
YDR102C	0
YDL188C	78
YDR405W	13
YDR443C	28
YDR059C	15
YDR144C	109
YDL157C	67
YDL058W	71
YDL096C	7
YDL155W	43
YDR147W	39
YDL191W	1304
YDL128W	98
YDR310C	39
YDL160C-A	25
YDR127W	274
YDR497C	366
YDL162C	0
tS(AGA)D3	0
YDR201W	17
YDR163W	7
YDL146W	38
YDR363W-A	58
YDL221W	2
YDL089W	33
YDR385W	2412
YDR331W	86
YDR196C	69
YDR116C	73
YDR001C	104
YDL230W	31
YDR160W	24
YDR123C	13
YDR322W	27
YDR040C	75
YDR025W	1822
YDR046C	191
YDL057W	7
YDL248W	37
YDR008C	0
YDR029W	1
YDR485C	21
YDR408C	87
YDR038C	74
YDL204W	11
YDR019C	82
YDR477W	70
YDR254W	11
YDR514C	32
YDR296W	43
YDL216C	6
YDL100C	656
YDL068W	0
YDL026W	2
YDL124W	41
YDL227C	30
YDL111C	85
YDR324C	94
YDL170W	30
YDR317W	2
YDR436W	22
YDR208W	62
YDR386W	16
YDR504C	4
YDL220C	16
YDR396W	3
YDR258C	99
YDR176W	29
YDL099W	35
YDR380W	61
YDL110C	23
YDR148C	113
YDL201W	60
YDL107W	7
YDR515W	17
YDR133C	228
YDR378C	33
YDR473C	16
YDR403W	6
YDR268W	44
YDR409W	6
YDR173C	17
YDR187C	3
YDR389W	41
YDR417C	55
YDR165W	104
YDL113C	46
YDR426C	3
YDR521W	4
YDR086C	163
YDL021W	2
YDR023W	707
YDR394W	167
YDR320C-A	14
YDR003W-A	11
YDR183W	21
YDR245W	122
YDR431W	0
YDL154W	16
YDL184C	121
YDR153C	49
YDR014W-A	0
YDR434W	101
YDL002C	26
YDR225W	1209
YDR418W	2947
YDR224C	693
YDR502C	189
YDR447C	1306
YDL039C	5
YDL225W	69
YDR259C	2
YDR495C	24
YDL151C	5
YDR357C	12
YDR370C	39
YDR298C	192
YDR276C	183
YDL185C-A	2
YDR545C-A	1
tM(CAU)D	0
YDL247W	1
YDR406W	22
YDR273W	2
