Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IP3.bam
YDL246C	5
YDL243C	5
YDR387C	16
YDL094C	0
YDR438W	6
YDR523C	0
YDR542W	1
YDR492W	32
YDR018C	3
YDL189W	43
YDR508C	38
YDR462W	14
YDR175C	26
YDR186C	30
YDR150W	57
YDR243C	15
YDL182W	78
YDR362C	20
YDR232W	52
YDR158W	315
YDR439W	12
YDL206W	6
YDR125C	4
YDR338C	16
YDR526C	6
YDR533C	46
YDR272W	65
YDR197W	16
YDR512C	1
YDR489W	13
YDR299W	44
YDL015C	196
YDR304C	203
YDR271C	0
YDL181W	7
YDR367W	33
YDR085C	15
YDL097C	178
YDL139C	6
YDR200C	11
YDR191W	6
YDR451C	22
YDR469W	27
YDR470C	12
YDR105C	28
YDR483W	220
YDL123W	10
YDL199C	6
YDR505C	50
YDL045W-A	22
YDL045C	47
YDR361C	102
YDR406W-A	0
YDR199W	1
YDR266C	55
YDL242W	0
YDR002W	668
YDR214W	138
YDR130C	10
YDL176W	23
YDR358W	13
YDR544C	0
YDR460W	16
snR84	849
YDR034W-B	0
YDL028C	14
YDR061W	21
YDR060W	100
YDR169C-A	0
YDR363W	10
YDR422C	24
YDR119W	65
tR(ACG)D	0
YDR097C	31
YDR042C	0
YDL160C	53
YDR425W	6
snR13	88
YDR228C	21
YDR319C	11
YDR471W	740
YDR089W	15
tD(GUC)D	1
YDR275W	11
YDR043C	13
YDR129C	149
YDR136C	0
YDL066W	403
YDR302W	40
YDR239C	17
YDR539W	30
tK(CUU)D1	0
YDL125C	207
YDR493W	20
YDR101C	85
YDR182W-A	0
YDR212W	247
YDR476C	34
YDL131W	52
YDR458C	11
YDR081C	19
YDL071C	2
YDR113C	11
YDR168W	47
YDR520C	12
YDR307W	15
YDR265W	16
YDL076C	27
YDL006W	20
YDL086W	81
YDR238C	188
YDR077W	58
YDR381C-A	15
YDL023C	0
YDL083C	1431
YDR036C	23
YDR057W	18
YDR513W	97
YDR487C	169
YDR066C	3
YDR352W	28
YDR278C	0
YDR079C-A	3
YDR204W	27
YDL247W-A	0
YDL024C	4
tA(AGC)D	0
YDR109C	14
YDR466W	13
YDR427W	116
YDL044C	6
YDL079C	1
YDR193W	0
YDR305C	20
YDR377W	73
YDR219C	24
YDR416W	22
YDR365C	68
YDL233W	11
YDR287W	24
YDR448W	21
YDR180W	22
tF(GAA)D	0
tT(AGU)D	0
YDR294C	87
YDR198C	10
YDL163W	0
YDL119C	22
YDR501W	5
YDL214C	0
YDR264C	61
YDR343C	27
YDR373W	64
YDR354W	53
YDR246W	22
YDR428C	33
YDR157W	3
YDR316W	12
YDL142C	20
YDR253C	3
YDL112W	90
YDR545W	23
YDL187C	4
YDL138W	13
YDR528W	13
YDR284C	54
YDR050C	3910
YDL010W	21
YDL065C	27
YDR349C	67
YDL098C	13
YDL234C	26
YDR118W	10
YDR118W-A	0
YDR159W	28
YDR111C	31
YDR128W	28
YDL034W	1
YDR065W	7
YDL004W	124
YDR024W	13
YDL171C	274
YDR083W	41
YDR457W	140
YDR014W	6
YDR206W	40
YDR478W	18
YDR169C	10
YDR115W	14
YDL159W-A	0
YDL232W	2
YDL240C-A	0
tE(CUC)D	0
YDL152W	3
YDR432W	38
YDL022C-A	0
YDL114W-A	1
YDR410C	38
YDR464C-A	0
YDL072C	116
YDR053W	0
YDL012C	18
YDR482C	6
YDL070W	213
YDR064W	2419
YDL135C	76
YDL077C	14
YDR354C-A	0
YDL033C	24
YDL031W	80
YDR398W	84
YDR326C	56
YDL052C	97
YDR536W	0
YDR397C	37
YDL116W	55
YDR028C	65
YDL007W	86
YDR236C	24
YDR011W	75
YDR155C	632
YDR414C	31
YDR026C	11
YDL073W	30
tY(GUA)D	0
YDL115C	17
YDL145C	272
YDR203W	0
YDL104C	6
YDL149W	5
YDR231C	10
YDR045C	30
YDL075W	1565
YDR415C	23
YDR339C	70
YDL213C	80
YDR096W	4
YDL019C	52
YDL022W	78
YDR413C	6
YDR391C	20
YDR091C	120
YDR240C	16
YDL244W	0
YDR179C	5
YDL165W	76
YDL140C	305
YDR120C	76
YDR003W	29
YDR499W	13
YDR166C	21
YDL092W	44
YDL041W	1
YDL241W	13
YDL082W	1582
YDR277C	3
YDR291W	28
YDR475C	14
YDR244W	12
YDR407C	34
YDR382W	2419
YDR102C	1
YDL188C	48
YDR405W	15
YDR443C	17
YDR059C	11
YDR144C	76
YDL157C	62
YDL058W	47
YDL096C	5
YDL155W	25
YDR147W	20
YDL191W	1035
YDL128W	56
YDR310C	25
YDL160C-A	7
YDR127W	230
YDR497C	207
YDL162C	0
tS(AGA)D3	0
YDR201W	19
YDR163W	5
YDL146W	19
YDR363W-A	56
YDL221W	1
YDL089W	10
YDR385W	2002
YDR331W	64
YDR196C	58
YDR116C	36
YDR001C	48
YDL230W	14
YDR160W	19
YDR123C	4
YDR322W	21
YDR040C	42
YDR025W	1591
YDR046C	103
YDL057W	2
YDL248W	19
YDR008C	0
YDR029W	0
YDR485C	14
YDR408C	80
YDR038C	69
YDL204W	5
YDR019C	30
YDR477W	29
YDR254W	8
YDR514C	23
YDR296W	35
YDL216C	10
YDL100C	434
YDL068W	0
YDL026W	1
YDL124W	89
YDL227C	24
YDL111C	99
YDR324C	59
YDL170W	26
YDR317W	7
YDR436W	8
YDR208W	42
YDR386W	15
YDR504C	3
YDL220C	11
YDR396W	4
YDR258C	57
YDR176W	20
YDL099W	20
YDR380W	32
YDL110C	16
YDR148C	86
YDL201W	91
YDL107W	9
YDR515W	9
YDR133C	183
YDR378C	24
YDR473C	11
YDR403W	6
YDR268W	27
YDR409W	7
YDR173C	10
YDR187C	8
YDR389W	26
YDR417C	68
YDR165W	83
YDL113C	22
YDR426C	0
YDR521W	1
YDR086C	126
YDL021W	2
YDR023W	445
YDR394W	88
YDR320C-A	8
YDR003W-A	5
YDR183W	22
YDR245W	73
YDR431W	0
YDL154W	12
YDL184C	46
YDR153C	28
YDR014W-A	0
YDR434W	52
YDL002C	22
YDR225W	975
YDR418W	2669
YDR224C	411
YDR502C	123
YDR447C	1120
YDL039C	3
YDL225W	40
YDR259C	0
YDR495C	13
YDL151C	3
YDR357C	14
YDR370C	26
YDR298C	172
YDR276C	120
YDL185C-A	0
YDR545C-A	1
tM(CAU)D	0
YDL247W	2
YDR406W	19
YDR273W	5
YDR269C	0
YDR453C	11
YDR383C	7
YDR375C	21
YDL161W	22
YDL051W	291
YDR084C	66
YDL056W	19
YDR344C	2
YDR320C	10
YDR221W	34
tI(AAU)D	0
YDL032W	2
YDR456W	53
YDL036C	24
tL(CAA)D	0
YDL217C	22
snR63	979
YDR334W	40
YDL049C	9
YDL164C	25
YDR384C	26
YDR149C	0
YDR093W	70
YDR071C	197
YDL143W	252
YDR032C	99
tR(UCU)D	0
YDR063W	38
YDL166C	68
YDR004W	25
YDR151C	18
YDR037W	417
YDL175C	13
YDR286C	5
YDR172W	5416
YDL174C	34
YDR080W	12
YDR503C	15
YDR069C	6
YDR047W	55
YDR215C	0
YDR267C	33
YDR142C	26
YDL212W	237
YDR249C	16
YDL209C	9
YDR044W	55
tK(UUU)D	0
YDR311W	33
YDL159C-B	0
YDR222W	21
YDR510C-A	1
YDR401W	2
YDR207C	7
YDL005C	17
YDR295C	16
YDR543C	1
YDL208W	241
YDR135C	97
YDL114W	0
YDR247W	4
YDL197C	12
YDR229W	17
YDR095C	1
YDR027C	40
YDL106C	9
YDR404C	57
YDR256C	0
YDR518W	35
YDR055W	65
YDL087C	12
YDR177W	50
YDL014W	431
YDR289C	15
YDL159W	8
