Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IP1.bam
YDL246C	0
YDL243C	4
YDR387C	41
YDL094C	1
YDR438W	16
YDR523C	0
YDR542W	1
YDR492W	31
YDR018C	3
YDL189W	50
YDR508C	62
YDR462W	19
YDR175C	33
YDR186C	44
YDR150W	66
YDR243C	12
YDL182W	144
YDR362C	21
YDR232W	148
YDR158W	953
YDR439W	11
YDL206W	6
YDR125C	3
YDR338C	18
YDR526C	3
YDR533C	13
YDR272W	67
YDR197W	27
YDR512C	14
YDR489W	14
YDR299W	79
YDL015C	233
YDR304C	258
YDR271C	0
YDL181W	10
YDR367W	31
YDR085C	14
YDL097C	295
YDL139C	10
YDR200C	21
YDR191W	10
YDR451C	29
YDR469W	24
YDR470C	20
YDR105C	36
YDR483W	233
YDL123W	6
YDL199C	1
YDR505C	59
YDL045W-A	28
YDL045C	32
YDR361C	95
YDR406W-A	0
YDR199W	0
YDR266C	87
YDL242W	0
YDR002W	547
YDR214W	197
YDR130C	18
YDL176W	31
YDR358W	19
YDR544C	0
YDR460W	19
snR84	986
YDR034W-B	1
YDL028C	23
YDR061W	33
YDR060W	156
YDR169C-A	0
YDR363W	29
YDR422C	33
YDR119W	79
tR(ACG)D	1
YDR097C	60
YDR042C	0
YDL160C	192
YDR425W	15
snR13	434
YDR228C	20
YDR319C	23
YDR471W	896
YDR089W	35
tD(GUC)D	0
YDR275W	16
YDR043C	14
YDR129C	231
YDR136C	1
YDL066W	623
YDR302W	32
YDR239C	19
YDR539W	45
tK(CUU)D1	1
YDL125C	168
YDR493W	16
YDR101C	223
YDR182W-A	0
YDR212W	429
YDR476C	32
YDL131W	119
YDR458C	15
YDR081C	34
YDL071C	2
YDR113C	14
YDR168W	88
YDR520C	29
YDR307W	10
YDR265W	10
YDL076C	23
YDL006W	20
YDL086W	114
YDR238C	227
YDR077W	83
YDR381C-A	7
YDL023C	8
YDL083C	803
YDR036C	60
YDR057W	16
YDR513W	52
YDR487C	132
YDR066C	7
YDR352W	28
YDR278C	1
YDR079C-A	6
YDR204W	45
YDL247W-A	0
YDL024C	3
tA(AGC)D	0
YDR109C	29
YDR466W	27
YDR427W	216
YDL044C	14
YDL079C	2
YDR193W	0
YDR305C	25
YDR377W	72
YDR219C	30
YDR416W	12
YDR365C	179
YDL233W	16
YDR287W	15
YDR448W	55
YDR180W	29
tF(GAA)D	1
tT(AGU)D	0
YDR294C	77
YDR198C	20
YDL163W	0
YDL119C	13
YDR501W	6
YDL214C	0
YDR264C	49
YDR343C	26
YDR373W	63
YDR354W	101
YDR246W	30
YDR428C	54
YDR157W	7
YDR316W	5
YDL142C	21
YDR253C	4
YDL112W	128
YDR545W	41
YDL187C	0
YDL138W	25
YDR528W	22
YDR284C	61
YDR050C	4878
YDL010W	17
YDL065C	9
YDR349C	60
YDL098C	9
YDL234C	40
