Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IP2.bam
YDR273W	2
YDR269C	0
YDR453C	7
YDR383C	2
YDR375C	25
YDL161W	21
YDL051W	271
YDR084C	29
YDL056W	27
YDR344C	2
YDR320C	20
YDR221W	8
tI(AAU)D	0
YDL032W	0
YDR456W	26
YDL036C	27
tL(CAA)D	0
YDL217C	19
snR63	3138
YDR334W	45
YDL049C	10
YDL164C	44
YDR384C	61
YDR149C	1
YDR093W	42
YDR071C	149
YDL143W	197
YDR032C	55
tR(UCU)D	0
YDR063W	40
YDL166C	23
YDR004W	21
YDR151C	37
YDR037W	727
YDL175C	26
YDR286C	5
YDR172W	319
YDL174C	38
YDR080W	28
YDR503C	7
YDR069C	19
YDR047W	43
YDR215C	0
YDR267C	16
YDR142C	24
YDL212W	55
YDR249C	21
YDL209C	9
YDR044W	92
tK(UUU)D	0
YDR311W	26
YDL159C-B	0
YDR222W	15
YDR510C-A	4
YDR401W	3
YDR207C	10
YDL005C	22
YDR295C	14
YDR543C	0
YDL208W	147
YDR135C	77
YDL114W	0
YDR247W	11
YDL197C	13
YDR229W	13
YDR095C	0
YDR027C	30
YDL106C	19
YDR404C	80
YDR256C	2
YDR518W	24
YDR055W	59
YDL087C	12
YDR177W	63
YDL014W	364
YDR289C	11
YDL159W	17
YDR532C	15
YDR137W	34
YDL153C	35
YDR393W	7
YDR506C	0
YDL219W	49
YDL090C	22
YDR033W	506
YDR035W	177
YDR332W	10
YDR510W	119
YDL055C	1508
YDR480W	15
YDL103C	49
YDL085C-A	7
YDR350C	25
YDR342C	26
YDR087C	35
YDL236W	95
YDR012W	1800
YDL121C	32
YDR525W-A	41
tG(GCC)D2	0
YDL190C	64
YDL047W	40
YDR099W	209
YDR092W	93
YDR164C	42
YDR058C	4
YDL020C	52
YDL025C	23
YDR374C	2
YDL207W	23
YDR270W	10
YDR152W	70
YDL148C	88
tI(UAU)D	1
YDR379C-A	2
YDR218C	1
YDL018C	12
YDR507C	48
YDL003W	29
YDR524C-B	1269
YDR371W	25
YDR359C	20
YDL180W	16
YDL133W	34
YDR335W	88
YDR351W	46
YDL150W	31
YDL177C	8
YDR171W	34
YDR364C	19
YDR309C	59
YDL239C	10
YDL228C	32
YDL156W	13
YDL016C	13
tX(XXX)D	2
YDR524W-C	3
YDL085W	2
YDR300C	44
YDL168W	62
YDR360W	0
YDR195W	29
YDR321W	279
YDR237W	38
YDL127W	23
YDR107C	11
YDR472W	28
YDL030W	26
YDR468C	20
YDL084W	914
YDL203C	39
YDL025W-A	0
YDR285W	0
YDL229W	5145
YDR329C	19
YDR034C	38
YDR009W	3
tS(AGA)D2	0
YDR488C	7
YDR103W	43
YDR336W	20
YDL101C	28
YDR162C	13
YDR312W	22
YDL061C	166
YDL040C	192
YDR145W	59
YDR124W	8
YDL231C	35
YDR190C	99
YDL064W	58
YDR463W	51
YDR491C	1
YDR449C	41
YDL035C	19
YDR074W	69
YDR525W	0
YDR257C	27
YDR402C	3
YDR450W	1766
YDR376W	41
YDR161W	79
YDR090C	12
YDR189W	73
YDR524C	51
YDL237W	31
YDR188W	160
YDL133C-A	33
YDR531W	71
tG(GCC)D1	0
YDR226W	526
YDL054C	10
YDL205C	91
YDR537C	0
YDR496C	166
YDR313C	13
YDL108W	25
tV(CAC)D	0
YDR340W	0
YDL147W	132
YDL081C	1357
YDR283C	47
YDR261C	17
YDL211C	6
YDL074C	60
YDL091C	6
YDR346C	188
YDR072C	48
YDR242W	9
YDR323C	7
YDR486C	26
YDR420W	17
YDL122W	54
YDR390C	60
YDR481C	14
YDR318W	12
YDL105W	11
YDL141W	65
YDR400W	52
YDR522C	0
YDL173W	51
YDR279W	29
YDR281C	1
YDR213W	25
YDR179W-A	20
YDR330W	28
YDR106W	3
YDL178W	36
YDR484W	15
YDR308C	16
YDL192W	590
YDL202W	32
YDR146C	99
YDR241W	1
YDL158C	18
YDL185W	1551
YDR251W	66
tL(UAA)D	0
YDR192C	25
YDR368W	86
YDR494W	28
YDR399W	88
YDR070C	0
YDR138W	29
YDR031W	3
YDR255C	13
YDL060W	101
YDR048C	1
YDR067C	22
YDR126W	3
YDR315C	19
YDL126C	636
YDR262W	25
tQ(UUG)D3	0
YDR345C	243
YDR079W	5
YDR433W	0
YDL144C	21
YDR306C	33
YDR292C	90
YDL009C	0
YDR290W	0
YDR282C	6
YDR170C	237
YDR174W	170
YDL218W	0
YDL062W	0
YDL048C	25
YDR500C	488
YDR112W	0
YDR538W	26
YDL011C	0
YDR355C	0
YDR301W	56
YDR412W	31
YDR530C	14
YDR227W	13
YDR041W	35
YDR015C	0
YDL008W	9
YDR234W	73
YDR511W	13
YDR519W	54
YDL086C-A	4
YDR250C	0
YDR465C	81
YDL001W	17
YDR454C	417
YDR013W	23
YDR076W	5
YDL095W	111
YDL007C-A	0
YDL130W	1084
YDR100W	24
YDR479C	8
tS(AGA)D1	3
YDL117W	33
YDR140W	21
YDR381W	140
tQ(UUG)D2	0
YDR327W	2
YDR062W	94
YDR143C	75
YDL172C	0
YDL053C	49
YDR223W	2
YDL037C	12
YDL167C	86
YDR246W-A	2
YDR371C-A	0
YDR517W	42
YDL226C	77
YDR467C	1
YDL134C	83
YDR117C	39
YDR314C	10
YDR440W	32
YDR303C	65
YDL078C	120
YDL238C	7
YDR529C	67
YDR437W	1
snR47	6
YDL196W	1
YDR452W	31
YDR445C	0
YDR347W	67
tQ(UUG)D1	0
YDR490C	18
YDR516C	28
YDR509W	0
YDL193W	14
YDL137W	158
YDL118W	0
YDR235W	39
YDR233C	134
YDR388W	134
YDR209C	1
YDR049W	21
YDL194W	8
YDR021W	24
YDR353W	336
YDR051C	30
YDR288W	16
YDR141C	79
YDR194C	99
YDR424C	12
YDR054C	50
YDR122W	30
YDR184C	26
YDR183C-A	12
YDL240W	43
YDR056C	41
YDR541C	14
YDL042C	28
YDR185C	6
YDR328C	132
YDR280W	35
tV(UAC)D	0
YDR098C	91
YDR005C	22
YDR423C	20
YDR017C	47
YDR419W	20
YDR444W	25
YDR341C	330
YDR154C	216
YDR464W	15
YDR132C	10
YDL210W	5
YDR395W	156
YDL222C	2
YDR372C	150
YDR325W	27
YDR216W	28
YDR082W	6
YDL224C	31
YDR498C	31
YDR010C	0
YDR006C	37
YDR182W	27
YDL102W	39
YDL179W	32
YDL067C	29
YDR030C	9
YDR020C	13
YDR527W	54
YDR333C	64
YDL093W	19
YDL043C	20
YDR139C	8
YDR322C-A	25
YDL130W-A	5
YDR210W	26
YDR260C	5
YDL017W	8
YDR073W	21
YDL069C	13
YDR455C	0
YDR461W	1
YDR435C	37
YDL063C	71
YDR121W	26
YDR178W	38
YDL013W	22
YDR534C	0
YDR392W	7
YDR034C-A	0
YDL132W	79
YDR535C	0
YDR202C	32
YDL050C	3
YDR524C-A	0
YDL109C	3
YDR211W	117
YDR110W	22
tG(CCC)D	0
YDR274C	0
YDR167W	22
YDR156W	42
YDL223C	9
YDR075W	17
YDR039C	48
YDL088C	45
YDL129W	10
YDL215C	46
YDR297W	50
YDR131C	8
YDR230W	0
YDR348C	25
YDL169C	3
YDR007W	0
YDL195W	362
YDR263C	3
YDR220C	0
YDR429C	246
YDR119W-A	1
YDR421W	17
YDL186W	1
YDL198C	94
YDL120W	40
YDR379W	18
YDL029W	153
YDR205W	18
YDR094W	0
YDR369C	17
YDR088C	18
YDR411C	13
YDR441C	32
YDR446W	0
YDL183C	9
YDR194W-A	0
YDR114C	1
YDR442W	1
tK(CUU)D2	0
YDL059C	6
YDR016C	11
YDR430C	47
YDR366C	0
YDR374W-A	2
YDR293C	88
YDR459C	4
YDR022C	7
YDR217C	29
YDR052C	32
YDL027C	14
YDR104C	8
YDL136W	592
YDR248C	18
YDR078C	10
YDR068W	14
YDL080C	48
YDR461C-A	2
YDR252W	1
YDL046W	35
YDR540C	4
YDR181C	25
YDL200C	6
YDR108W	15
YDR337W	22
YDR356W	19
YDL235C	80
YDR320W-B	0
YDL245C	1
YDR170W-A	41
YDR210W-B	59
YDR210C-D	229
YDR316W-B	232
YDR261C-D	286
YDR210C-C	0
YDR261C-C	0
YDR261W-B	63
YDR365W-A	0
YDR316W-A	0
YDR261W-A	0
YDR365W-B	268
YDR098C-B	205
YDR098C-A	0
YDR210W-A	0
YDR034C-D	84
YDR034C-C	0
YOR185C	23
YOR237W	0
YOL048C	12
tG(GCC)O1	1
YOL144W	15
snR8	765
YOR082C	0
YOL072W	12
YOR114W	10
YOL085C	1
YOR385W	27
YOR214C	0
YOL119C	6
YOR019W	3
YOR206W	116
YOR345C	0
YOR341W	781
YOL088C	18
YOR392W	0
YOR160W	57
YOR084W	13
YOR039W	53
YOR264W	34
YOR281C	38
tK(UUU)O	0
YOR230W	405
YOR144C	9
YOL081W	122
YOL052C	47
YOR285W	66
YOR058C	27
YOR270C	348
YOL154W	7
YOR115C	58
YOL003C	16
YOR258W	5
tN(GUU)O2	0
YOL103W	58
YOR215C	18
YOL095C	21
YOL063C	18
YOL079W	0
YOR389W	0
YOR231W	47
YOR021C	91
YOR139C	0
YOR120W	14
YOL038W	149
YOR023C	22
YOL124C	53
YOR212W	103
YOL013W-A	0
YOL120C	3497
YOR181W	16
YOR333C	0
YOR335C	653
YOL046C	0
YOL029C	14
YOL155W-A	0
YOR072W	0
YOL161C	0
snR58	1
YOL122C	22
YOR252W	31
YOR157C	140
YOL107W	6
YOR274W	9
YOL013W-B	0
YOR343C	3
YOR093C	31
YOR381W-A	0
YOL065C	14
YOR092W	26
YOR207C	113
YOR365C	1
YOL005C	81
YOL020W	35
YOL053W	10
YOL117W	10
YOR038C	35
YOR303W	71
YOR137C	18
YOL034W	14
YOR052C	66
YOR190W	1
YOL039W	1241
YOR349W	11
YOL090W	69
YOR271C	160
YOR173W	0
YOR106W	18
YOR108W	210
YOR059C	18
YOL149W	39
YOR121C	13
YOL106W	1
snR9	177
YOR295W	7
YOR203W	0
YOR132W	46
YOR216C	32
YOR099W	62
YOR001W	71
YOR009W	1
YOR204W	372
YOR209C	164
YOR284W	10
YOR036W	6
YOR154W	20
YOR048C	123
YOL073C	11
YOL152W	4
YOL101C	5
YOR085W	81
YOR227W	22
YOR159C	11
YOR146W	1
YOR372C	40
YOR112W	32
YOR387C	1
YOR229W	41
YOR068C	0
YOR376W-A	2
YOL050C	1
YOR342C	47
YOL035C	0
YOR251C	54
YOR041C	4
YOR130C	23
YOR119C	27
YOL166C	0
YOR008C	49
YOL011W	76
YOR248W	0
YOR202W	0
YOR266W	16
YOR140W	17
YOR004W	73
YOR308C	13
YOR032C	4
YOR311C	72
YOL019W	12
YOL138C	21
YOL151W	26
YOR330C	31
YOR379C	3
YOR142W	90
YOR268C	0
snR81	141
YOR017W	22
YOR394W	0
YOL134C	1
YOR002W	60
YOR194C	38
YOR298C-A	281
YOL069W	14
YOR014W	79
YOR346W	54
YOR044W	13
YOR275C	24
YOR174W	27
YOR336W	18
YOL094C	39
YOR122C	366
YOR256C	18
YOL137W	12
YOR350C	15
YOR196C	27
YOR380W	9
YOR314W-A	0
tA(UGC)O	0
YOL097W-A	1
YOR376W	0
YOR369C	4323
YOL132W	0
YOR296W	17
YOR260W	119
YOR373W	21
YOR163W	31
YOR029W	0
YOL042W	14
YOR316C	20
YOR326W	242
YOR293C-A	0
YOL036W	38
YOR072W-B	0
YOR332W	510
YOL002C	57
YOR193W	15
YOR243C	126
YOR126C	29
YOR070C	20
YOR328W	11
