Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IP3.bam
YDL246C	2
YDL243C	8
YDR387C	26
YDL094C	1
YDR438W	23
YDR523C	3
YDR542W	0
YDR492W	51
YDR018C	0
YDL189W	60
YDR508C	147
YDR462W	18
YDR175C	45
YDR186C	78
YDR150W	451
YDR243C	23
YDL182W	97
YDR362C	40
YDR232W	189
YDR158W	776
YDR439W	21
YDL206W	15
YDR125C	8
YDR338C	41
YDR526C	5
YDR533C	20
YDR272W	65
YDR197W	28
YDR512C	14
YDR489W	20
YDR299W	77
YDL015C	175
YDR304C	211
YDR271C	0
YDL181W	16
YDR367W	25
YDR085C	18
YDL097C	240
YDL139C	3
YDR200C	48
YDR191W	14
YDR451C	28
YDR469W	24
YDR470C	24
YDR105C	44
YDR483W	238
YDL123W	5
YDL199C	6
YDR505C	95
YDL045W-A	24
YDL045C	22
YDR361C	104
YDR406W-A	0
YDR199W	0
YDR266C	120
YDL242W	1
YDR002W	638
YDR214W	144
YDR130C	29
YDL176W	30
YDR358W	21
YDR544C	1
YDR460W	17
snR84	1158
YDR034W-B	0
YDL028C	50
YDR061W	41
YDR060W	322
YDR169C-A	0
YDR363W	23
YDR422C	52
YDR119W	193
tR(ACG)D	0
YDR097C	118
YDR042C	0
YDL160C	194
YDR425W	14
snR13	381
YDR228C	32
YDR319C	20
YDR471W	1180
YDR089W	61
tD(GUC)D	2
YDR275W	29
YDR043C	19
YDR129C	289
YDR136C	0
YDL066W	496
YDR302W	24
YDR239C	35
YDR539W	36
tK(CUU)D1	1
YDL125C	215
YDR493W	28
YDR101C	221
YDR182W-A	1
YDR212W	386
YDR476C	51
YDL131W	89
YDR458C	40
YDR081C	74
YDL071C	2
YDR113C	14
YDR168W	93
YDR520C	38
YDR307W	33
YDR265W	19
YDL076C	25
YDL006W	36
YDL086W	138
YDR238C	500
YDR077W	65
YDR381C-A	14
YDL023C	7
YDL083C	1423
YDR036C	52
YDR057W	21
YDR513W	70
YDR487C	185
YDR066C	8
YDR352W	37
YDR278C	0
YDR079C-A	3
YDR204W	29
YDL247W-A	1
YDL024C	0
tA(AGC)D	0
YDR109C	28
YDR466W	49
YDR427W	159
YDL044C	9
YDL079C	8
YDR193W	1
YDR305C	21
YDR377W	124
YDR219C	40
YDR416W	34
YDR365C	217
YDL233W	17
YDR287W	31
YDR448W	39
YDR180W	63
tF(GAA)D	0
tT(AGU)D	0
YDR294C	101
YDR198C	25
YDL163W	1
YDL119C	11
YDR501W	11
YDL214C	4
YDR264C	125
YDR343C	64
YDR373W	94
YDR354W	126
YDR246W	22
YDR428C	35
YDR157W	3
YDR316W	18
YDL142C	24
YDR253C	2
YDL112W	271
YDR545W	169
YDL187C	7
YDL138W	27
YDR528W	36
YDR284C	56
YDR050C	6473
YDL010W	16
YDL065C	26
YDR349C	93
YDL098C	16
YDL234C	45
YDR118W	23
YDR118W-A	0
YDR159W	63
YDR111C	45
YDR128W	75
YDL034W	0
YDR065W	13
YDL004W	122
YDR024W	7
YDL171C	1778
YDR083W	72
YDR457W	763
YDR014W	15
YDR206W	90
YDR478W	14
YDR169C	22
YDR115W	34
YDL159W-A	0
YDL232W	8
YDL240C-A	0
tE(CUC)D	0
YDL152W	2
YDR432W	77
YDL022C-A	0
YDL114W-A	0
YDR410C	46
YDR464C-A	0
YDL072C	52
YDR053W	0
YDL012C	23
YDR482C	19
YDL070W	253
YDR064W	3208
YDL135C	95
YDL077C	46
YDR354C-A	3
YDL033C	21
YDL031W	166
YDR398W	130
YDR326C	166
YDL052C	67
YDR536W	2
YDR397C	67
YDL116W	88
YDR028C	160
YDL007W	189
YDR236C	38
YDR011W	314
YDR155C	620
YDR414C	30
YDR026C	33
YDL073W	59
tY(GUA)D	0
YDL115C	20
YDL145C	814
YDR203W	1
YDL104C	8
YDL149W	10
YDR231C	10
YDR045C	61
YDL075W	1589
YDR415C	24
YDR339C	85
YDL213C	94
YDR096W	28
YDL019C	117
YDL022W	135
YDR413C	3
YDR391C	19
YDR091C	302
YDR240C	29
YDL244W	1
YDR179C	7
YDL165W	68
YDL140C	1250
YDR120C	131
YDR003W	12
YDR499W	32
YDR166C	63
YDL092W	61
YDL041W	0
YDL241W	17
YDL082W	1573
YDR277C	14
YDR291W	74
YDR475C	44
YDR244W	26
YDR407C	92
YDR382W	2568
YDR102C	0
YDL188C	112
YDR405W	14
YDR443C	78
YDR059C	11
YDR144C	122
YDL157C	75
YDL058W	191
YDL096C	8
YDL155W	72
YDR147W	37
YDL191W	1188
YDL128W	80
YDR310C	90
YDL160C-A	17
YDR127W	897
YDR497C	314
YDL162C	2
tS(AGA)D3	0
YDR201W	18
YDR163W	15
YDL146W	40
YDR363W-A	61
YDL221W	3
YDL089W	28
YDR385W	5585
YDR331W	65
YDR196C	46
YDR116C	43
YDR001C	102
YDL230W	18
YDR160W	49
YDR123C	7
YDR322W	45
YDR040C	162
YDR025W	2012
YDR046C	198
YDL057W	5
YDL248W	21
YDR008C	0
YDR029W	1
YDR485C	32
YDR408C	101
YDR038C	182
YDL204W	12
YDR019C	41
YDR477W	85
YDR254W	15
YDR514C	28
YDR296W	46
YDL216C	14
YDL100C	561
YDL068W	2
YDL026W	1
YDL124W	75
YDL227C	63
YDL111C	134
YDR324C	159
YDL170W	29
YDR317W	3
YDR436W	20
YDR208W	96
YDR386W	12
YDR504C	5
YDL220C	20
YDR396W	9
YDR258C	88
YDR176W	47
YDL099W	36
YDR380W	26
YDL110C	20
YDR148C	154
YDL201W	81
YDL107W	10
YDR515W	26
YDR133C	209
YDR378C	34
YDR473C	17
YDR403W	2
YDR268W	26
YDR409W	28
YDR173C	18
YDR187C	21
YDR389W	68
YDR417C	98
YDR165W	149
YDL113C	31
YDR426C	0
YDR521W	0
YDR086C	169
YDL021W	3
YDR023W	686
YDR394W	152
YDR320C-A	12
YDR003W-A	4
YDR183W	14
YDR245W	105
YDR431W	0
YDL154W	17
YDL184C	120
YDR153C	46
YDR014W-A	2
YDR434W	88
YDL002C	22
YDR225W	952
YDR418W	3533
YDR224C	393
YDR502C	131
YDR447C	1697
YDL039C	64
YDL225W	52
YDR259C	6
YDR495C	36
YDL151C	6
YDR357C	10
YDR370C	35
YDR298C	178
YDR276C	156
YDL185C-A	6
YDR545C-A	1
tM(CAU)D	0
YDL247W	2
YDR406W	57
YDR273W	7
YDR269C	2
YDR453C	4
YDR383C	9
YDR375C	44
YDL161W	39
YDL051W	358
YDR084C	47
YDL056W	37
YDR344C	7
YDR320C	20
YDR221W	58
tI(AAU)D	1
YDL032W	2
YDR456W	97
YDL036C	36
tL(CAA)D	1
YDL217C	34
snR63	1853
YDR334W	121
YDL049C	13
YDL164C	61
YDR384C	69
YDR149C	3
YDR093W	235
YDR071C	238
YDL143W	314
YDR032C	104
tR(UCU)D	0
YDR063W	49
YDL166C	49
YDR004W	40
YDR151C	33
YDR037W	845
YDL175C	20
YDR286C	5
YDR172W	481
YDL174C	66
YDR080W	30
YDR503C	11
YDR069C	29
YDR047W	107
YDR215C	0
YDR267C	37
YDR142C	26
YDL212W	179
YDR249C	20
YDL209C	9
