Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN2.bam
YDR273W	0
YDR269C	0
YDR453C	2
YDR383C	3
YDR375C	26
YDL161W	6
YDL051W	289
YDR084C	30
YDL056W	9
YDR344C	3
YDR320C	1
YDR221W	23
tI(AAU)D	0
YDL032W	0
YDR456W	78
YDL036C	20
tL(CAA)D	1
YDL217C	19
snR63	976
YDR334W	34
YDL049C	6
YDL164C	44
YDR384C	6
YDR149C	0
YDR093W	30
YDR071C	149
YDL143W	337
YDR032C	87
tR(UCU)D	0
YDR063W	16
YDL166C	20
YDR004W	37
YDR151C	29
YDR037W	715
YDL175C	9
YDR286C	7
YDR172W	285
YDL174C	33
YDR080W	20
YDR503C	12
YDR069C	11
YDR047W	78
YDR215C	0
YDR267C	19
YDR142C	20
YDL212W	214
YDR249C	46
YDL209C	3
YDR044W	42
tK(UUU)D	0
YDR311W	11
YDL159C-B	0
YDR222W	29
YDR510C-A	0
YDR401W	3
YDR207C	2
YDL005C	2
YDR295C	22
YDR543C	0
YDL208W	247
YDR135C	181
YDL114W	0
YDR247W	1
YDL197C	3
YDR229W	12
YDR095C	0
YDR027C	14
YDL106C	2
YDR404C	46
YDR256C	3
YDR518W	56
YDR055W	34
YDL087C	1
YDR177W	71
YDL014W	91
YDR289C	3
YDL159W	8
YDR532C	11
YDR137W	40
YDL153C	8
YDR393W	10
YDR506C	2
YDL219W	32
YDL090C	37
YDR033W	436
YDR035W	136
YDR332W	6
YDR510W	6
YDL055C	2754
YDR480W	4
YDL103C	78
YDL085C-A	15
YDR350C	38
YDR342C	80
YDR087C	36
YDL236W	162
YDR012W	336
YDL121C	85
YDR525W-A	5
tG(GCC)D2	0
YDL190C	99
YDL047W	35
YDR099W	8
YDR092W	27
YDR164C	23
YDR058C	19
YDL020C	38
YDL025C	19
YDR374C	0
YDL207W	6
YDR270W	7
YDR152W	9
YDL148C	27
tI(UAU)D	7
YDR379C-A	1
YDR218C	0
YDL018C	30
YDR507C	24
YDL003W	30
YDR524C-B	67
YDR371W	26
YDR359C	2
YDL180W	28
YDL133W	35
YDR335W	56
YDR351W	29
YDL150W	6
YDL177C	9
YDR171W	33
YDR364C	22
YDR309C	7
YDL239C	7
YDL228C	47
YDL156W	3
YDL016C	35
tX(XXX)D	0
YDR524W-C	0
YDL085W	1
YDR300C	52
YDL168W	123
YDR360W	1
YDR195W	24
YDR321W	567
YDR237W	63
YDL127W	2
YDR107C	17
YDR472W	24
YDL030W	17
YDR468C	8
YDL084W	1657
YDL203C	9
YDL025W-A	0
YDR285W	5
YDL229W	5578
YDR329C	31
YDR034C	11
YDR009W	2
tS(AGA)D2	0
YDR488C	9
YDR103W	31
YDR336W	23
YDL101C	30
YDR162C	8
YDR312W	5
YDL061C	9
YDL040C	125
YDR145W	13
YDR124W	6
YDL231C	60
YDR190C	86
YDL064W	7
YDR463W	4
YDR491C	0
YDR449C	43
YDL035C	24
YDR074W	46
YDR525W	0
YDR257C	33
YDR402C	0
YDR450W	1713
YDR376W	58
YDR161W	35
YDR090C	16
YDR189W	72
YDR524C	15
YDL237W	41
YDR188W	152
YDL133C-A	33
YDR531W	74
tG(GCC)D1	0
YDR226W	667
YDL054C	9
YDL205C	86
YDR537C	1
YDR496C	154
YDR313C	5
YDL108W	16
tV(CAC)D	0
YDR340W	0
YDL147W	140
YDL081C	929
YDR283C	57
YDR261C	7
YDL211C	0
YDL074C	43
YDL091C	6
YDR346C	285
YDR072C	69
YDR242W	11
YDR323C	13
YDR486C	8
YDR420W	5
YDL122W	24
YDR390C	38
YDR481C	62
YDR318W	6
YDL105W	2
YDL141W	13
YDR400W	66
YDR522C	1
YDL173W	29
YDR279W	35
YDR281C	2
YDR213W	18
YDR179W-A	34
YDR330W	3
YDR106W	2
YDL178W	132
YDR484W	9
YDR308C	15
YDL192W	708
YDL202W	9
YDR146C	4
YDR241W	0
YDL158C	32
YDL185W	1088
YDR251W	21
tL(UAA)D	0
YDR192C	2
YDR368W	112
YDR494W	16
YDR399W	236
YDR070C	0
YDR138W	7
YDR031W	8
YDR255C	8
YDL060W	48
YDR048C	0
YDR067C	17
YDR126W	1
YDR315C	10
YDL126C	829
YDR262W	14
tQ(UUG)D3	0
YDR345C	615
YDR079W	15
YDR433W	0
YDL144C	9
YDR306C	26
YDR292C	83
YDL009C	0
YDR290W	0
YDR282C	5
YDR170C	151
YDR174W	57
YDL218W	0
YDL062W	0
YDL048C	5
YDR500C	346
YDR112W	1
YDR538W	13
YDL011C	0
YDR355C	0
YDR301W	14
YDR412W	2
YDR530C	17
YDR227W	13
YDR041W	23
YDR015C	0
YDL008W	11
YDR234W	101
YDR511W	4
YDR519W	45
YDL086C-A	6
YDR250C	0
YDR465C	52
YDL001W	12
YDR454C	279
YDR013W	15
YDR076W	4
YDL095W	373
YDL007C-A	0
YDL130W	269
YDR100W	18
YDR479C	4
tS(AGA)D1	1
YDL117W	32
YDR140W	3
YDR381W	288
tQ(UUG)D2	0
YDR327W	1
YDR062W	170
YDR143C	7
YDL172C	3
YDL053C	48
YDR223W	2
YDL037C	5
YDL167C	84
YDR246W-A	0
YDR371C-A	0
YDR517W	111
YDL226C	24
YDR467C	1
YDL134C	119
YDR117C	20
YDR314C	5
YDR440W	6
YDR303C	37
YDL078C	190
YDL238C	4
YDR529C	58
YDR437W	3
snR47	2
YDL196W	0
YDR452W	48
YDR445C	0
YDR347W	15
tQ(UUG)D1	0
YDR490C	15
YDR516C	155
YDR509W	0
YDL193W	26
YDL137W	174
YDL118W	1
YDR235W	39
YDR233C	12
YDR388W	63
YDR209C	4
YDR049W	3
YDL194W	15
YDR021W	20
YDR353W	460
YDR051C	21
YDR288W	14
YDR141C	56
YDR194C	188
YDR424C	34
YDR054C	21
YDR122W	10
YDR184C	20
YDR183C-A	5
YDL240W	17
YDR056C	30
YDR541C	18
YDL042C	8
YDR185C	8
YDR328C	183
YDR280W	37
tV(UAC)D	2
YDR098C	81
YDR005C	31
YDR423C	1
YDR017C	13
YDR419W	19
YDR444W	14
YDR341C	527
YDR154C	104
YDR464W	2
YDR132C	9
YDL210W	3
YDR395W	245
YDL222C	0
YDR372C	148
YDR325W	26
YDR216W	10
YDR082W	11
YDL224C	6
YDR498C	6
YDR010C	0
YDR006C	17
YDR182W	23
YDL102W	50
YDL179W	7
YDL067C	5
YDR030C	3
YDR020C	14
YDR527W	11
YDR333C	80
YDL093W	25
YDL043C	21
YDR139C	27
YDR322C-A	14
YDL130W-A	0
YDR210W	18
YDR260C	4
YDL017W	7
YDR073W	9
YDL069C	10
YDR455C	0
YDR461W	0
YDR435C	18
YDL063C	133
YDR121W	16
YDR178W	7
YDL013W	7
YDR534C	1
YDR392W	7
YDR034C-A	0
YDL132W	69
YDR535C	0
YDR202C	35
YDL050C	2
YDR524C-A	0
YDL109C	0
YDR211W	145
YDR110W	30
tG(CCC)D	0
YDR274C	0
YDR167W	18
YDR156W	0
YDL223C	1
YDR075W	5
YDR039C	134
YDL088C	17
YDL129W	11
YDL215C	68
YDR297W	125
YDR131C	17
YDR230W	0
YDR348C	8
YDL169C	0
YDR007W	0
YDL195W	143
YDR263C	7
YDR220C	0
YDR429C	82
YDR119W-A	0
YDR421W	13
YDL186W	0
YDL198C	53
YDL120W	13
YDR379W	12
YDL029W	263
YDR205W	6
YDR094W	0
YDR369C	14
YDR088C	2
YDR411C	40
YDR441C	17
YDR446W	0
YDL183C	2
YDR194W-A	0
YDR114C	0
YDR442W	0
tK(CUU)D2	0
YDL059C	4
YDR016C	12
YDR430C	22
YDR366C	2
YDR374W-A	6
YDR293C	72
YDR459C	20
YDR022C	2
YDR217C	12
YDR052C	16
YDL027C	8
YDR104C	15
YDL136W	644
YDR248C	8
YDR078C	16
YDR068W	2
YDL080C	18
YDR461C-A	2
YDR252W	4
YDL046W	21
YDR540C	3
YDR181C	12
YDL200C	9
YDR108W	25
YDR337W	20
YDR356W	8
YDL235C	40
YDR320W-B	0
YDL245C	0
YDR170W-A	7
YDR210W-B	14
YDR210C-D	33
YDR316W-B	36
YDR261C-D	39
YDR210C-C	0
